No	CAS Number	Chemical name	SMILES	Dhaw	Dhaw (Unit)
45	58-93-5	Hydroklortiazid	NS(=O)(=O)c1cc2c(NCNS2(=O)=O)cc1Cl	132.92	kJ/mol
46	5915-41-3	Terbuthylazine	CCNc1nc(Cl)nc(NC(C)(C)C)n1	141.43	kJ/mol
47	60142-96-3	Gabapentin	NCC1(CCCCC1)CC(O)=O	87.947	kJ/mol
48	604-75-1	Oxazepam	OC1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O	134.49	kJ/mol
49	60-80-0	phenazone	CN1N(C(=O)C=C1C)c1ccccc1	79.925	kJ/mol
50	63-25-2	Carbaryl	CNC(=O)Oc1cccc2ccccc12	69.262	kJ/mol
51	65277-42-1	Ketokonazol	CC(=O)N1CCN(CC1)c1ccc(OCC2COC(Cn3ccnc3)(O2)c2ccc(Cl)cc2Cl)cc1	181.94	kJ/mol
52	66108-95-0	iohexol	CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I	384.54	kJ/mol
53	67129-08-2	Metazachlor	Cc1cccc(C)c1N(Cn1cccn1)C(=O)CCl	117.31	kJ/mol
54	69-72-7	salicylic acid	OC(=O)c1ccccc1O	71.311	kJ/mol
55	70-55-3	toluene-4-sulphonamide	Cc1ccc(cc1)S(N)(=O)=O	76.728	kJ/mol
56	723-46-6	Sulfametoxazol	Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1	130.58	kJ/mol
57	7287-19-6	Prometryn	CSc1nc(NC(C)C)nc(NC(C)C)n1	147.92	kJ/mol
58	73334-07-3	Jopromid	COCC(=O)Nc1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)N(C)CC(O)CO)c1I	332.47	kJ/mol
59	738-70-5	Trimetoprim	COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC	139.14	kJ/mol
60	78-51-3	tris(2-butoxyethyl) phosphate	CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC		kJ/mol
61	78649-41-9	Jomeprol	CN(C(=O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I	333.24	kJ/mol
62	80-05-7	4,4'-isopropylidenediphenol	CC(C)(c1ccc(O)cc1)c1ccc(O)cc1	92.579	kJ/mol
63	81-07-2	1,2-benzisothiazol-3(2H)-one 1,1-dioxide	O=C1NS(=O)(=O)c2ccccc12	80.327	kJ/mol
64	81103-11-9	Klaritromycin	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(CC(C)C(=O)C(C)C(O)C1(C)O)OC	362.97	kJ/mol
65	81-25-4	cholic acid	CC(CCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C	196.38	kJ/mol
66	83881-51-0	Cetirizin	OC(=O)COCCN1CCN(CC1)C(c1ccccc1)c1ccc(Cl)cc1	161.02	kJ/mol
67	84057-84-1	Lamotrigin	Nc1nnc(c(N)n1)-c1cccc(Cl)c1Cl	133.95	kJ/mol
68	846-49-1	Lorazepam	OC1N=C(c2ccccc2Cl)c2cc(Cl)ccc2NC1=O	135.08	kJ/mol
69	886-50-0	Terbutryn	CCNc1nc(NC(C)(C)C)nc(SC)n1	147.92	kJ/mol
70	90357-06-5	Bikalutamid	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(c1)C(F)(F)F	150.43	kJ/mol
71	90-43-7	biphenyl-2-ol	Oc1ccccc1-c1ccccc1	58.408	kJ/mol
72	93-65-2	Mecoprop	CC(Oc1ccc(Cl)cc1C)C(O)=O	79.255	kJ/mol
73	94-13-3	propyl 4-hydroxybenzoate	CCCOC(=O)c1ccc(O)cc1	63.5	kJ/mol
74	94-74-6	MCPA	Cc1cc(Cl)ccc1OCC(O)=O	70.698	kJ/mol
75	94-75-7	2,4-D	OC(=O)COc1ccc(Cl)cc1Cl	68.42	kJ/mol
