Cas#	Chem. Name	Smiles	Quantity	Mixture/Salt	Microbial toxicity_NEW	Map reliability	BOD_Observed [28]	BOD [28]	±_BOD [28]	Primary Half Life	Ultimate Half Life Predicted	Obs. half life by BOD	Start day of Obs. 10 days window	BOD obs at 10 days window	Classification of Obs. 10 days window	BOD calc at 10 days window	Start day of Calc. 10 days window	Classification of Calc. 10 days window	Parameter ranges	Structural domain				Unable to mineralize	Total Domain
2921-88-2	Chlorpyrifos (Chlorpyrifos-ethyl)	CCOP(=S)(OCC)Oc1c(Cl)cc(Cl)c(Cl)n1	1	 	 Pyridine suspected BOD inhibition effect	N/A	No data	0.00	 	more than 10 years	more than 10 years	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	15.38%	0.00%	84.62%	Out of domain	Out of domain	Out of Domain
107-06-2	1,2-dichloroethane	ClCCCl	0.04	 	 (N/A)	0.6973	No data	0.92	0.14	6.03 days	7.66 days	Unknown	Unknown	Unknown	Unknown	0.6785	3	Ready	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain
75-09-2	Dichloromethane	ClCCl	1	 	 (N/A)	N/A	No data	0.00	 	more than 10 years	more than 10 years	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	66.67%	0.00%	33.33%	Out of domain	Out of domain	Out of Domain
117-81-7	Di(2-ethylhexyl)phthalate (DEHP)	CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC	1E-006	 	 Alkane, branched tertiary carbon suspected BOD inhibition effect	0.0403	No data	0.79	0.07	 < 1 day	12.39 days	Unknown	Unknown	Unknown	Unknown	0.4997	2	Not Ready	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain
330-54-1	Diuron	CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1	0.0009903	 	 Aromatic amine suspected BOD inhibition effect;Aryl halide suspected BOD inhibition effect;Urea derivatives BOD inhibition effect	0.6536	No data	0.23	0.07	2.10 days	2m 14d	Unknown	Unknown	Unknown	Unknown	0.1918	11	Not Ready	In domain	22.22%	0.00%	77.78%	Out of domain	In domain	Out of Domain
115-29-7	Endosulfan	O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl	0.7442	 	 (N/A)	0.1587	No data	0.02	0.01	2m 6d	2y 7m 9d	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	31.58%	0.00%	68.42%	Out of domain	Out of domain	Out of Domain
206-44-0	Fluoranthene	c1cccc2c1c1cccc3cccc2c13	0.2752	 	 Naphtalene suspected inhibition effect	0.0645	No data	0.19	0.00	15.04 days	3m 3d	Unknown	Unknown	Unknown	Unknown	0.1756	16	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	Out of domain	Out of Domain
118-74-1	Hexachlorobenzene	Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl	1	 	 Aryl halide suspected BOD inhibition effect	0.0000	No data	0.00	0.00	more than 10 years	more than 10 years	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain
87-68-3	Hexachlorobutadiene	ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl	1	 	 (N/A)	N/A	No data	0.00	 	more than 10 years	more than 10 years	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	Out of domain	Out of Domain
608-73-1	Hexachlorocyclohexane	ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl	1	 	 (N/A)	N/A	No data	0.00	 	more than 10 years	more than 10 years	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	Out of domain	Out of Domain
34123-59-6	Isoproturon	CC(C)c1ccc(NC(=O)N(C)C)cc1	0.0009903	 	 Aromatic amine suspected BOD inhibition effect;Urea derivatives BOD inhibition effect	0.2363	No data	0.76	0.12	2.10 days	13.71 days	Unknown	Unknown	Unknown	Unknown	0.4793	5	Not Ready	In domain	30.00%	0.00%	70.00%	Out of domain	In domain	Out of Domain
91-20-3	Naphthalene	c1cccc2ccccc12	0.001	 	 Naphtalene suspected inhibition effect	0.0340	No data	0.85	0.02	1.65 days	10.09 days	Unknown	Unknown	Unknown	Unknown	0.6883	2	Ready	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain
608-93-5	Pentachlorobenzene	Clc1cc(Cl)c(Cl)c(Cl)c1Cl	1	 	 Aryl halide suspected BOD inhibition effect	0.0000	No data	0.00	0.00	more than 10 years	more than 10 years	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain
87-86-5	Pentachlorophenol	Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl	1	 	 Aryl halide suspected BOD inhibition effect	0.0000	No data	0.00	0.00	more than 10 years	more than 10 years	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain
208-96-8	acenaphthylene	C1=Cc2cccc3cccc1c23	1	 	 Naphtalene suspected inhibition effect	N/A	No data	0.00	 	more than 10 years	more than 10 years	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	Out of domain	Out of Domain
83-32-9	acenaphthene	C1Cc2cccc3cccc1c23	0.05	 	 Naphtalene suspected inhibition effect	0.0053	No data	0.23	23.40	6.48 days	2m 13d	Unknown	Unknown	Unknown	Unknown	0.1929	12	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain
86-73-7	fluorene	C1c2ccccc2-c2ccccc12	0.1843	 	 (N/A)	0.3088	No data	0.30	0.06	11.47 days	1m 24d	Unknown	Unknown	Unknown	Unknown	0.2256	9	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain
85-01-8	phenantrene	c1cccc2ccc3ccccc3c12	1E-012	 	 Naphtalene suspected inhibition effect	0.0459	No data	0.37	21.10	 < 1 day	1m 11d	Unknown	Unknown	Unknown	Unknown	0.2733	2	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain
129-00-0	pyrene	c1ccc2ccc3cccc4ccc1c2c34	0.2752	 	 Naphtalene suspected inhibition effect	0.3000	No data	0.04	 	15.04 days	1y 3m 30d	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	Out of domain	Out of Domain
56-55-3	benz[a]anthracene	c1cccc2ccc3cc4ccccc4cc3c12	1E-012	 	 Naphtalene suspected inhibition effect	0.0443	No data	0.37	17.30	 < 1 day	1m 11d	Unknown	Unknown	Unknown	Unknown	0.2418	2	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain
218-01-9	chrysene benzophenanthrene	c1cccc2ccc3c4ccccc4ccc3c12	1E-012	 	 Naphtalene suspected inhibition effect	0.0853	No data	0.25	11.40	 < 1 day	2m 6d	Unknown	Unknown	Unknown	Unknown	0.2061	2	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain
205-99-2	benzo[b]fluoranthene	c1cccc2cc3c4ccccc4c4cccc(c12)c34	1.444E-007	 	 Naphtalene suspected inhibition effect	0.1543	No data	0.28	0.83	 < 1 day	1m 27d	Unknown	Unknown	Unknown	Unknown	0.3563	2	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	Out of domain	Out of Domain
207-08-9	benzo[k]fluoranthene	c1cccc2cc3c4cccc5cccc(c3cc12)c45	0.0005246	 	 Naphtalene suspected inhibition effect	0.2220	No data	0.20	0.02	1.56 days	2m 27d	Unknown	Unknown	Unknown	Unknown	0.1877	3	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	Out of domain	Out of Domain
50-32-8	benzo[a]pyrene	c1cccc2cc3ccc4cccc5ccc(c12)c3c45	7.574E-008	 	 Naphtalene suspected inhibition effect	0.2801	No data	0.13	0.39	 < 1 day	4m 17d	Unknown	Unknown	Unknown	Unknown	0.1396	3	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	Out of domain	Out of Domain
215-58-7	dibenz[a,c]anthracene	c1cccc2cc3c4ccccc4c4ccccc4c3cc12	9.992E-016	 	 Naphtalene suspected inhibition effect	0.0762	No data	0.24	4.94	 < 1 day	2m 12d	Unknown	Unknown	Unknown	Unknown	0.1826	2	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	Out of domain	Out of Domain
191-24-2	benzo[ghi]perylene	c1ccc2ccc3ccc4ccc5cccc6c1c2c3c4c56	0.01093	 	 Naphtalene suspected inhibition effect	0.2571	No data	0.04	 	4.30 days	1y 3m 25d	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	Out of domain	Out of Domain
205-82-3	benzo[j]fluoranthene	c1cccc2ccc3c4cccc5cccc(c3c12)c45	1.444E-007	 	 Naphtalene suspected inhibition effect	0.2479	No data	0.33	0.05	 < 1 day	1m 17d	Unknown	Unknown	Unknown	Unknown	0.3782	1	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	Out of domain	Out of Domain
205-12-9	benzo[c]fluorene	C1c2ccccc2-c2c1ccc1ccccc21	0.1977	 	 Naphtalene suspected inhibition effect	0.2072	No data	0.35	0.14	11.97 days	1m 14d	Unknown	Unknown	Unknown	Unknown	0.2433	7	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain
27208-37-3	cyclopenta[cd]-pyrene	C1=Cc2ccc3ccc4cccc5cc1c2c3c45	0.1444	 	 Naphtalene suspected inhibition effect	0.2000	No data	0.04	 	10.03 days	1y 3m 0d	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	Out of domain	Out of Domain
53-70-3	benzo[k]tetraphene	c1cccc2ccc3cc4c5ccccc5ccc4cc3c12	1E-012	 	 Naphtalene suspected inhibition effect	0.0587	No data	0.23	13.40	 < 1 day	2m 15d	Unknown	Unknown	Unknown	Unknown	0.1752	2	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain
192-65-4	dibenzo[a,e]pyrene	c1cccc2cc3c4ccccc4c4cccc5ccc(c12)c3c45	1.443E-013	 	 Naphtalene suspected inhibition effect	0.2687	No data	0.14	0.47	 < 1 day	4m 6d	Unknown	Unknown	Unknown	Unknown	0.1386	3	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	Out of domain	Out of Domain
189-64-0	dibenzo[a,h]pyrene	c1cccc2cc3ccc4c5ccccc5cc5ccc(c12)c3c45	5.246E-013	 	 Naphtalene suspected inhibition effect	0.2829	No data	0.16	0.57	 < 1 day	3m 18d	Unknown	Unknown	Unknown	Unknown	0.1509	3	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	Out of domain	Out of Domain
189-55-9	dibenzo[a,i]pyrene	c1cccc2cc3ccc4cc5ccccc5c5ccc(c12)c3c45	2.752E-013	 	 Naphtalene suspected inhibition effect	0.2884	No data	0.15	0.52	 < 1 day	3m 27d	Unknown	Unknown	Unknown	Unknown	0.1444	3	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	Out of domain	Out of Domain
191-30-0	dibenzo[def,p]chrysene	c1cccc2cc3ccc4cccc5c4c3c(c12)c1ccccc51	1.443E-013	 	 Naphtalene suspected inhibition effect	0.2687	No data	0.14	0.47	 < 1 day	4m 6d	Unknown	Unknown	Unknown	Unknown	0.1386	3	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	Out of domain	Out of Domain
3697-24-3	5-methylchrysene	Cc1cc2ccccc2c2ccc3ccccc3c12	3.352E-007	 	 Naphtalene suspected inhibition effect	0.3472	No data	0.10	2.84	 < 1 day	6m 9d	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain
193-39-5	indeno[1,2,3-cd]pyrene	c1cccc2c1c1ccc3ccc4cccc5cc2c1c3c45	0.02084	 	 Naphtalene suspected inhibition effect	0.5143	No data	0.04	 	5.01 days	1y 3m 21d	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	Out of domain	Out of Domain
122-34-9	Simazine	CCNc1nc(NCC)nc(Cl)n1	0.002577	 	 N-Heterocyclic aromatic amine suspected BOD inhibition effect	0.8408	No data	0.64	0.47	3.26 days	18.85 days	Unknown	Unknown	Unknown	Unknown	0.3750	5	Not Ready	In domain	50.00%	0.00%	50.00%	Out of domain	In domain	Out of Domain
56-35-9	Tributyltin oxide	CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC	1	 	 (N/A)	N/A	No data	0.00	 	more than 10 years	more than 10 years	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	66.67%	0.00%	33.33%	Out of domain	Out of domain	Out of Domain
4342-36-3	Tributyltin benzoate	CCCC[Sn](CCCC)(CCCC)OC(=O)c1ccccc1	0.6552	 	 (N/A)	0.3467	No data	0.08	0.04	1m 14d	7m 16d	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	52.94%	0.00%	47.06%	Out of domain	Out of domain	Out of Domain
1461-22-9	Tributyltin Chloride	CCCC[Sn](Cl)(CCCC)CCCC	1	 	 (N/A)	N/A	No data	0.00	 	more than 10 years	more than 10 years	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	64.29%	0.00%	35.71%	Out of domain	Out of domain	Out of Domain
1983-10-4	Tributyltin Fluoride	CCCC[Sn](F)(CCCC)CCCC	1	 	 (N/A)	N/A	No data	0.00	 	more than 10 years	more than 10 years	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	64.29%	0.00%	35.71%	Out of domain	Out of domain	Out of Domain
24124-25-2	Tributyltin linoleate	CCCCCC=CCC=CCCCCCCCC(=O)O[Sn](CCCC)(CCCC)CCCC	0.007223	 	 (N/A)	0.1083	No data	0.37	0.03	3.94 days	1m 10d	Unknown	Unknown	Unknown	Unknown	0.2921	8	Not Ready	In domain	75.76%	0.00%	24.24%	Out of domain	Out of domain	Out of Domain
2155-70-6	Tributyltin methacrylate	CCCC[Sn](CCCC)(CCCC)OC(=O)C(C)=C	1	 	 (N/A)	N/A	No data	0.00	 	more than 10 years	more than 10 years	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	57.89%	0.00%	42.11%	Out of domain	Out of domain	Out of Domain
36643-28-4	Tributyltin-cation	CCCC[Sn]{+}(CCCC)CCCC	1	 	 (N/A)	N/A	No data	0.00	 	more than 10 years	more than 10 years	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	69.23%	0.00%	30.77%	Out of domain	Out of domain	Out of Domain
12002-48-1	Trichlorobenzenes	Clc1cc(Cl)cc(Cl)c1	1	 	 Aryl halide suspected BOD inhibition effect	N/A	No data	0.00	 	more than 10 years	more than 10 years	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	Out of domain	Out of Domain
67-66-3	Trichloromethane (chloroform)	ClC(Cl)Cl	1	 	 (N/A)	N/A	No data	0.00	 	more than 10 years	more than 10 years	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	Out of domain	Out of Domain
1582-09-8	Trifluralin	CCCN(CCC)c1c(N(=O)=O)cc(C(F)(F)F)cc1N(=O)=O	0.2	 	 Aromatic amine suspected BOD inhibition effect;Nitroarenes suspected BOD inhibition effect	0.2029	No data	0.07	3.21	12.06 days	8m 20d	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	83.33%	0.00%	16.67%	Out of domain	Out of domain	Out of Domain
115-32-2	Dicofol	OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl	1	 	 Aryl halide suspected BOD inhibition effect	0.1799	No data	0.00	0.15	more than 10 years	more than 10 years	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	60.00%	0.00%	40.00%	Out of domain	In domain	Out of Domain
1763-23-1	Perfluorooctane sulfonic acid	OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	1	 	 (N/A)	N/A	No data	0.00	 	more than 10 years	more than 10 years	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	68.97%	0.00%	31.03%	Out of domain	Out of domain	Out of Domain
2795-39-3	1-octanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-, potassium salt (1:1)	O=S(=O)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)O{-}.K{+}	0	Salt	 (N/A)	1.0000	No data	0.00	 	 < 1 day	more than 10 years	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	56.67%	0.00%	43.33%	Out of domain	Out of domain	Out of Domain
 	 	OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	1	 	 (N/A)	1.0000	No data	0.00	 	more than 10 years	more than 10 years	 	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	68.97%	0.00%	31.03%	Out of domain	Out of domain	Out of Domain
 	 	O{-}.K{+}	1E-005	 	 (N/A)	1.0000	No data	Can't predict	 	more than 10 years	more than 10 years	 	Unknown	Unknown	Unknown	Can't predict	Can't predict	Can't predict	 	 	 	 	 	 	N/A
29457-72-5	lithium heptadecafluorooctanesulphonate	[Li]{+}.O{-}S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	0	Salt	 (N/A)	N/A	No data	0.00	 	 < 1 day	more than 10 years	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	56.67%	0.00%	43.33%	Out of domain	Out of domain	Out of Domain
 	 	OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	1	 	 (N/A)	1.0000	No data	0.00	 	more than 10 years	more than 10 years	 	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	68.97%	0.00%	31.03%	Out of domain	Out of domain	Out of Domain
 	 	[Li]{+}.O{-}	1	 	 (N/A)	1.0000	No data	Can't predict	 	more than 10 years	more than 10 years	 	Unknown	Unknown	Unknown	Can't predict	Can't predict	Can't predict	 	 	 	 	 	 	N/A
29081-56-9	1-octanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-, ammonium salt	N{+}.O{-}S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	0	Salt	 Ammonium salts suspected BOD inhibition effect	1.0000	No data	0.00	 	 < 1 day	more than 10 years	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	56.67%	0.00%	43.33%	Out of domain	Out of domain	Out of Domain
 	 	OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	1	 	 (N/A)	1.0000	No data	0.00	 	more than 10 years	more than 10 years	 	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	68.97%	0.00%	31.03%	Out of domain	Out of domain	Out of Domain
 	 	N{+}.O{-}	1E-005	 	 Ammonium salts suspected BOD inhibition effect	1.0000	No data	Can't predict	 	more than 10 years	more than 10 years	 	Unknown	Unknown	Unknown	Can't predict	Can't predict	Can't predict	 	 	 	 	 	 	N/A
70225-14-8	1-octanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-, compd. with 2,2’-iminobis[ethanol] (1:1)	OCCNCCO_OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	0	Mixture	 (N/A)	0.5296	No data	0.30	0.03	2.89 days..more than 10 years	1m 23d	Unknown	Unknown	Unknown	Unknown	0.2497	6	Not Ready	In domain	75.00%	0.00%	25.00%	Out of domain	In domain	Out of Domain
 	 	OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	0.5	 	 (N/A)	1.0000	No data	0.00	 	more than 10 years	more than 10 years	 	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	68.97%	0.00%	31.03%	Out of domain	Out of domain	Out of Domain
 	 	OCCNCCO	0.0006063	 	 (N/A)	1.0000	No data	0.85	0.08	2.89 days	10.13 days	 	Unknown	Unknown	Unknown	0.6615	4	Ready	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain
307-35-7	heptadecafluorooctanesulphonyl fluoride	O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	1	 	 (N/A)	N/A	No data	0.00	 	more than 10 years	more than 10 years	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	58.62%	0.00%	41.38%	Out of domain	Out of domain	Out of Domain
56773-42-3	ethanaminium, n,n,n-triethyl-, salt with 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-1-octanesulfonic acid (1:1)	CCN{+}(CC)(CC)(CC).O{-}S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	0	Salt	 Ammonium salts suspected BOD inhibition effect	1.0000	No data	0.00	0.04	 < 1 day	more than 10 years	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	73.68%	0.00%	26.32%	Out of domain	Out of domain	Out of Domain
 	 	OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	1	 	 (N/A)	1.0000	No data	0.00	 	more than 10 years	more than 10 years	 	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	68.97%	0.00%	31.03%	Out of domain	Out of domain	Out of Domain
 	 	CCN{+}(CC)(CC)CC	0.9997	 	 Ammonium salts suspected BOD inhibition effect	1.0000	No data	0.00	0.07	more than 10 years	more than 10 years	 	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	44.44%	0.00%	55.56%	Out of domain	In domain	Out of Domain
124495-18-7	Quinoxyfen	Fc1ccc(Oc2ccnc3cc(Cl)cc(Cl)c23)cc1	1	 	 Aryl halide suspected BOD inhibition effect;Pyridine suspected BOD inhibition effect	0.0900	No data	0.00	0.16	more than 10 years	more than 10 years	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	16.67%	0.00%	83.33%	Out of domain	In domain	Out of Domain
1746-01-6	2,3,7,8-T4CDD	Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2	0.0996	 	 Aryl halide suspected BOD inhibition effect	0.0101	No data	0.54	0.32	8.41 days	25.13 days	Unknown	Unknown	Unknown	Unknown	0.3233	8	Not Ready	In domain	50.00%	0.00%	50.00%	Out of domain	In domain	Out of Domain
40321-76-4	1,2,3,7,8-P5CDD	Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)c(Cl)c1O2	0.000992	 	 Aryl halide suspected BOD inhibition effect	0.0137	No data	0.52	0.29	2.80 days	26.20 days	Unknown	Unknown	Unknown	Unknown	0.3262	4	Not Ready	In domain	22.22%	0.00%	77.78%	Out of domain	In domain	Out of Domain
