#	CAS RN	NAME	SMILES	Daphnia magna EC50 48h										
				Daphnia magna-48h EC50 mode of action	Daphnia magna-48h EC50_Observed	Daphnia magna-48h EC50_StructCalcValue_Toxicity mg/l	Daphnia magna-48h EC50_Confidence	Parameter ranges	Correct fragments Structural domain	Incorrect fragments Structural domain	Unknown fragments Structural domain	Total Structural domain	Parametric coverage	Total Domain
43	23593-75-1	Clotrimazol	Clc1ccccc1C(c1ccccc1)(c1ccccc1)N1C=CN=C1	Reactive unspecified	no data	<=0.0375*	from  0.009 to  0.148	N/A	N/A	N/A	N/A	N/A	N/A	N/A
44	50-36-2	Cocaine	CN1C{P+}2CCC{P-}1CC{P+}(OC(=O)c1ccccc1)C{P+}2C(=O)OC	Reactive unspecified	no data	<=109.7369	from 63.518 to 189.587	N/A	N/A	N/A	N/A	N/A	N/A	N/A
45	50-22-6	Corticosteron	CC{P+}12CCC(=O)C=C1CCC{P+}1C{P+}2C{P-}(O)CC{P-}2(C)C{P-}1CCC{P+}2C(=O)CO	Reactive unspecified	no data	<=213.9025	from 132.943 to 344.165	N/A	N/A	N/A	N/A	N/A	N/A	N/A
46	53-06-5	Cortison	CC{P+}12CCC(=O)C=C1CCC{P+}1C{P+}2C(=O)CC{P-}2(C)C{P-}1CCC{P-}2(O)C(=O)CO	Reactive unspecified	no data	<=316.6360	from 189.887 to 527.989	N/A	N/A	N/A	N/A	N/A	N/A	N/A
47	50-18-0	Cyclophosphamid	O=P1(N(CCCl)CCCl)NCCCO1	Reactive unspecified	no data	<=1705.9786	from 980.470 to 2968.333	N/A	N/A	N/A	N/A	N/A	N/A	N/A
48	101205-02-1	Cycloxydim	CCCC(=C1C(=O)CC(C2CCCSC2)CC1=O)NOCC	Reactive unspecified	no data	<=9.8624	from  5.214 to 18.657	N/A	N/A	N/A	N/A	N/A	N/A	N/A
49	147-94-4	Cytarabin	NC1C=CN(C{P-}2C{P-}(O)C{P+}(O)C{P-}(CO)O2)C(=O)N=1	Reactive unspecified	no data	<=2007034.3750*	from 348660.563 to 11553321.000	N/A	N/A	N/A	N/A	N/A	N/A	N/A
50	34245-14-2	D617	CC(C)C(CCCNC)(C#N)c1ccc(OC)c(OC)c1	Reactive unspecified	no data	<=21.5252	from 12.611 to 36.739	N/A	N/A	N/A	N/A	N/A	N/A	N/A
51	206361-99-1	Darunavir	CC(C)CN(CC{P-}(O)C{P+}(Cc1ccccc1)NC(=O)OC{P-}1COC{P+}2C{P-}1CCO2)S(=O)(=O)c1ccc(N)cc1	Reactive unspecified	no data	<=348.4741*	from 190.111 to 638.756	N/A	N/A	N/A	N/A	N/A	N/A	N/A
52	201530-41-8	Deferasirox	OC(=O)c1ccc(N2C(=C3C=CC=CC3=O)NC(=C3C=CC=CC3=O)/N2)cc1	Reactive unspecified	no data	<=2051.3215	from 755.302 to 5571.174	N/A	N/A	N/A	N/A	N/A	N/A	N/A
53	1177-87-3	Dexamethason-21-acetat	CC{P+}1CC{P-}2C{P+}3CCC4=CC(=O)C=CC{P-}4(C)C{P+}3(F)C{P-}(O)CC{P-}2(C)C{P+}1(O)C(=O)COC(C)=O	Reactive unspecified	no data	<=84.6428*	from 49.525 to 144.662	N/A	N/A	N/A	N/A	N/A	N/A	N/A
54	85-79-0	Dibucaine	CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1	basesurface narcotics	no data	2.02	from  0.898 to  4.541	Out of domain	31.25%	0.00%	68.75%	Out of domain	16.99%	Out of Domain
55	65928-58-7	Dienogest	CC{P+}12CCC3C{P-}(CCC4=CC(=O)CCC=34)C{P+}1CCC{P+}2(O)CC#N	Reactive unspecified	no data	<=79.5657	from 46.546 to 136.010	N/A	N/A	N/A	N/A	N/A	N/A	N/A
56	111-96-6	Diglym	COCCOCCOC	basesurface narcotics	no data	30791.4805	from 13205.961 to 71794.508	In domain	11.11%	0.00%	88.89%	Out of domain	Out of domain	Out of Domain
57	125-28-0	Dihydrocodein	CN1CCC{P-}23C{P-}4CCC{P+}(O)C{P+}2Oc2c3c(CC{P-}14)ccc2OC	Reactive unspecified	no data	<=561.6508*	from 335.201 to 941.083	N/A	N/A	N/A	N/A	N/A	N/A	N/A
58	33286-22-5	Diltiazem	CC(=O)OC{P+}1C{P+}(c2ccc(OC)cc2)Sc2ccccc2N(CCN(C)C)C1=O	Reactive unspecified	no data	<=38.0631	from 21.485 to 67.435	N/A	N/A	N/A	N/A	N/A	N/A	N/A
59	34205-21-5	Dimefuron	CC(C)(C)C1=NN(c2ccc(NC(=O)N(C)C)cc2Cl)C(=O)O1	Reactive unspecified	no data	<=51.5639*	from 29.791 to 89.250	N/A	N/A	N/A	N/A	N/A	N/A	N/A
60	50563-36-5	Dimethachlor	Cc1cccc(C)c1N(CCOC)C(=O)CCl	basesurface narcotics	no data	75.1166	from 46.813 to 120.532	Out of domain	8.33%	0.00%	91.67%	Out of domain	90.82%	Out of Domain
61	1086384-49-7	Dimethachlor-OXA	Cc1cccc(C)c1N(CCOC)C(=O)C(O)=O	Reactive unspecified	no data	<=3626.0288	from 1652.474 to 7956.609	N/A	N/A	N/A	N/A	N/A	N/A	N/A
62	3567-62-2	"Diuron-desmonomethyl (DCPMU) = 1-(3,4-Dichlorophenyl)-3-methylurea"	CNC(=O)Nc1ccc(Cl)c(Cl)c1	basesurface narcotics	no data	41.7667	from 24.129 to 72.296	Out of domain	25.00%	0.00%	75.00%	Out of domain	80.50%	Out of Domain
63	4710-17-2	"DMSA (=N,N-Dimethylaminosulfanilid)"	CN(C)S(=O)(=O)Nc1ccccc1	Reactive unspecified	no data	<=625.3199	from 303.552 to 1288.164	N/A	N/A	N/A	N/A	N/A	N/A	N/A
64	74191-85-8	Doxazosin	COc1cc2c(cc1OC)c(N)nc(N1CCN(C(=O)C3COc4ccccc4O3)CC1)n2	Reactive unspecified	no data	<=183.3030*	from 101.307 to 331.665	N/A	N/A	N/A	N/A	N/A	N/A	N/A
65	141626-36-0	Dronedaron	CCCCC1=C(C(=O)c2ccc(OCCCN(CCCC)CCCC)cc2)c2cc(NS(C)(=O)=O)ccc2O1	Reactive unspecified	no data	<=0.2947*	from  0.097 to  0.897	N/A	N/A	N/A	N/A	N/A	N/A	N/A
66	17692-31-8	Dropropizine	OCC(O)CN1CCN(c2ccccc2)CC1	basesurface narcotics	no data	8482.4277	from 3696.782 to 19463.301	Out of domain	33.33%	0.00%	66.67%	Out of domain	8.84%	Out of Domain
67	154598-52-4	Efavirenz	O=C1Nc2ccc(Cl)cc2C{P-}(C#CC2CC2)(C(F)(F)F)O1	Reactive unspecified	no data	<=0.4811*	from  0.182 to  1.275	N/A	N/A	N/A	N/A	N/A	N/A	N/A
68	143491-57-0	Emtricitabine	NC1C(F)=CN(C{P+}2CSC{P+}(CO)O2)C(=O)N=1	Reactive unspecified	no data	<=2378737.2500*	from 384074.844 to 14732519.000	N/A	N/A	N/A	N/A	N/A	N/A	N/A
69	299-42-3	Ephedrin	CC{P-}(C{P+}(O)c1ccccc1)NC	Reactive unspecified	no data	<=1795.6895	from 901.562 to 3576.570	N/A	N/A	N/A	N/A	N/A	N/A	N/A
70	133040-01-4	Eprosartan	CCCCC1=NC=C(/C=C(\CC2=CC=CS2)C(O)=O)N1Cc1ccc(C(O)=O)cc1	Reactive unspecified	no data	<=0.0345*	from  0.009 to  0.136	N/A	N/A	N/A	N/A	N/A	N/A	N/A
71	26244-33-7	Ethofumesat-2-keto	CC1(C)c2cc(OS(C)(=O)=O)ccc2OC1=O	Reactive unspecified	no data	<=1846.3524*	from 743.556 to 4584.749	N/A	N/A	N/A	N/A	N/A	N/A	N/A
72	41340-25-4	Etodolac	CCc1cccc2c1NC1=C2CCOC1(CC)CC(O)=O	Reactive unspecified	no data	<=2.5334	from  1.189 to  5.399	N/A	N/A	N/A	N/A	N/A	N/A	N/A
73	107868-30-4	Exemestan	CC{P+}12CCC{P-}3C{P-}(CC(=C)C4=CC(=O)C=CC{P+}34C)C{P+}1CCC2=O	Reactive unspecified	no data	<=19.3326*	from 10.744 to 34.787	N/A	N/A	N/A	N/A	N/A	N/A	N/A
74	79127-80-3	Fenoxycarb	CCOC(=O)NCCOc1ccc(Oc2ccccc2)cc1	Reactive unspecified	no data	<=1.4495	from  0.627 to  3.353	N/A	N/A	N/A	N/A	N/A	N/A	N/A
75	67306-03-0	Fenpropimorph	CC(Cc1ccc(C(C)(C)C)cc1)CN1CC(C)OC(C)C1	Reactive unspecified	no data	<=0.1206	from  0.035 to  0.413	N/A	N/A	N/A	N/A	N/A	N/A	N/A
76	120067-83-6	Fipronil-sulfid	NC1=C(SC(F)(F)F)C(C#N)=NN1c1c(Cl)cc(C(F)(F)F)cc1Cl	Reactive unspecified	no data	<=0.3742*	from  0.131 to  1.068	N/A	N/A	N/A	N/A	N/A	N/A	N/A
77	120068-36-2	Fipronil-sulfon	NC1=C(S(=O)(=O)C(F)(F)F)C(C#N)=NN1c1c(Cl)cc(C(F)(F)F)cc1Cl	Reactive unspecified	no data	<=0.8762	from  0.330 to  2.328	N/A	N/A	N/A	N/A	N/A	N/A	N/A
78	54143-55-4	Flecainid	O=C(c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F)NCC1CCCCN1	basesurface narcotics	no data	2.9085	from  1.317 to  6.425	Out of domain	13.04%	0.00%	86.96%	Out of domain	17.40%	Out of Domain
79	86386-73-4	Fluconazol	OC(CN1C=NC=N1)(CN1C=NC=N1)c1ccc(F)cc1F	Reactive unspecified	no data	<=6408.7695	from 2441.192 to 16824.703	N/A	N/A	N/A	N/A	N/A	N/A	N/A
80	514-36-3	Fludrocortison	CC(=O)OCC(=O)C{P-}1(O)CCC{P-}2C{P+}3CCC4=CC(=O)CCC{P-}4(C)C{P+}3(F)C{P-}(O)CC{P+}12C	Reactive unspecified	no data	<=139.8026*	from 86.040 to 227.159	N/A	N/A	N/A	N/A	N/A	N/A	N/A
81	142459-58-3	Flufenacet	CC(C)N(C(=O)COC1=NN=C(C(F)(F)F)S1)c1ccc(F)cc1	Reactive unspecified	no data	<=61.1238	from 29.860 to 125.119	N/A	N/A	N/A	N/A	N/A	N/A	N/A
82	201668-31-7	Flufenacet-OXA	CC(C)N(c1ccc(F)cc1)C(=O)C(O)=O	Reactive unspecified	no data	<=1616.2887	from 760.161 to 3436.624	N/A	N/A	N/A	N/A	N/A	N/A	N/A
83	530-78-9	Flufenaminsäure	OC(=O)c1ccccc1Nc1cccc(C(F)(F)F)c1	Reactive unspecified	no data	<=0.1652	from  0.055 to  0.498	N/A	N/A	N/A	N/A	N/A	N/A	N/A
84	54910-89-3	Fluoxetin	CNCCC(c1ccccc1)Oc1ccc(C(F)(F)F)cc1	Reactive unspecified	no data	<=0.5518	from  0.211 to  1.440	N/A	N/A	N/A	N/A	N/A	N/A	N/A
85	85509-19-9	Flusilazol	C[Si](CN1C=NC=N1)(c1ccc(F)cc1)c1ccc(F)cc1	Reactive unspecified	no data	<=0.3447	from  0.123 to  0.963	N/A	N/A	N/A	N/A	N/A	N/A	N/A
86	93957-54-1	Fluvastatin	CC(C)N1c2ccccc2C(c2ccc(F)cc2)=C1/C=C/C{P-}(O)CC{P+}(O)CC(O)=O	Reactive unspecified	no data	<=0.4581	from  0.166 to  1.268	N/A	N/A	N/A	N/A	N/A	N/A	N/A
87	98048-97-6	Fosinopril	CCC(=O)OC(C(C)C)OP(=O)(CCCCc1ccccc1)CC(=O)N1CC{P+}(C2CCCCC2)CC{P-}1C(O)=O	Reactive unspecified	no data	<=0.0572	from  0.014 to  0.236	N/A	N/A	N/A	N/A	N/A	N/A	N/A
88	54-31-9	Furosemid	NS(=O)(=O)c1cc(C(O)=O)c(NCC2=CC=CO2)cc1Cl	Reactive unspecified	no data	<=75.7147	from 40.327 to 142.154	N/A	N/A	N/A	N/A	N/A	N/A	N/A
89	256393-37-0	Galaxolidon	CC1COC(=O)c2cc3c(cc12)C(C)(C)C(C)C3(C)C	Reactive unspecified	no data	<=0.1413*	from  0.045 to  0.440	N/A	N/A	N/A	N/A	N/A	N/A	N/A
90	125-29-1	Hydrocodone	CN1CCC{P-}23C{P-}4CCC(=O)C{P+}2Oc2c3c(CC{P-}14)ccc2OC	Reactive unspecified	no data	<=129.1642*	from 81.823 to 203.895	N/A	N/A	N/A	N/A	N/A	N/A	N/A
91	50-23-7	Hydrocortison	CC{P+}12CCC(=O)C=C1CCC{P+}1C{P+}2C{P-}(O)CC{P-}2(C)C{P-}1CCC{P-}2(O)C(=O)CO	Reactive unspecified	no data	<=481.0471*	from 280.605 to 824.670	N/A	N/A	N/A	N/A	N/A	N/A	N/A
92	3778-73-2	Ifosfamid	O=P1(NCCCl)N(CCCl)CCCO1	Reactive unspecified	no data	<=1734.0070	from 1004.165 to 2994.308	N/A	N/A	N/A	N/A	N/A	N/A	N/A
93	115970-17-7	Imidacloprid-desnitro	O=N(=O)NC1=NCCN1Cc1ccc(Cl)nc1	Reactive unspecified	no data	<=22799.6113	from 7178.612 to 72412.648	N/A	N/A	N/A	N/A	N/A	N/A	N/A
94	120868-66-8	Imidacloprid-urea	OC1=NCCN1Cc1ccc(Cl)nc1	Reactive unspecified	no data	<=2073.6062	from 936.784 to 4590.007	N/A	N/A	N/A	N/A	N/A	N/A	N/A
95	256-96-2	Iminostilben	C1=Cc2ccccc2Nc2ccccc12	basesurface narcotics	no data	1.2737	from  0.577 to  2.813	Out of domain	0.00%	0.00%	100.00%	Out of domain	20.38%	Out of Domain
96	53-86-1	Indomethacin	CC1=C(CC(O)=O)c2cc(OC)ccc2N1C(=O)c1ccc(Cl)cc1	Reactive unspecified	no data	<=1.3501*	from  0.569 to  3.205	N/A	N/A	N/A	N/A	N/A	N/A	N/A
97	140923-17-7	Iprovalicarb	CC(C)C{P-}(C(O)=NC(C)c1ccc(C)cc1)N=C(O)OC(C)C	Reactive unspecified	no data	<=0.3275	from  0.112 to  0.955	N/A	N/A	N/A	N/A	N/A	N/A	N/A
98	N/A	Irgarol-descyclopropyl	CC(C)(C)Nc1nc(N)nc(SC)n1	Reactive unspecified	no data	<=27.1895	from 16.672 to 44.343	N/A	N/A	N/A	N/A	N/A	N/A	N/A
99	56046-17-4	Isoproturon-didemethyl = 1-(4-Isoprophenyl)urea	CC(C)c1ccc(NC(N)=O)cc1	basesurface narcotics	no data	75.3946	from 47.198 to 120.435	In domain	25.00%	0.00%	75.00%	Out of domain	87.05%	Out of Domain
100	34123-57-4	Isoproturon-monodemethyl = 1-(4-Isoprophenyl)-3-methylurea	CC(C)c1ccc(NC(=O)NC)cc1	basesurface narcotics	no data	30.0081	from 18.503 to 48.666	Out of domain	22.22%	0.00%	77.78%	Out of domain	87.54%	Out of Domain
101	65277-42-1	Ketoconazol	CC(=O)N1CCN(c2ccc(OCC{P+}3COC{P-}(CN4C=CN=C4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1	Reactive unspecified	no data	<=1.4038	from  0.568 to  3.469	N/A	N/A	N/A	N/A	N/A	N/A	N/A
102	102767-28-2	Levetiracetam	CCC{P+}(C(N)=O)N1CCCC1=O	basesurface narcotics	no data	28716.9141	from 11138.756 to 74035.313	In domain	25.00%	0.00%	75.00%	Out of domain	17.44%	Out of Domain
103	165800-03-3	Linezolid	CC(=O)NCC{P-}1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1	Reactive unspecified	no data	<=885.2256	from 463.198 to 1691.771	N/A	N/A	N/A	N/A	N/A	N/A	N/A
104	846-49-1	Lorazepam	OC1C(=O)Nc2ccc(Cl)cc2C(c2ccccc2Cl)=N1	Reactive unspecified	no data	<=64.0279*	from 35.526 to 115.398	N/A	N/A	N/A	N/A	N/A	N/A	N/A
105	75330-75-5	Lovastatin	CCC{P+}(C)C(=O)OC{P-}1CC{P-}(C)C=C2C=CC{P+}(C)C{P+}(CCC{P+}3CC{P-}(O)CC(=O)O3)C{P-}12	Reactive unspecified	no data	<=0.7241*	from  0.268 to  1.955	N/A	N/A	N/A	N/A	N/A	N/A	N/A
106	94-81-5	MCPB	Cc1cc(Cl)ccc1OCCCC(O)=O	Reactive unspecified	no data	<=5.2354	from  2.744 to  9.990	N/A	N/A	N/A	N/A	N/A	N/A	N/A
107	93-65-2	Mecoprop	CC(C(O)=O)Oc1ccc(Cl)cc1C	Reactive unspecified	no data	<=15.9801	from  9.244 to 27.625	N/A	N/A	N/A	N/A	N/A	N/A	N/A
108	110235-47-7	Mepanipyrim	CC#Cc1cc(C)nc(Nc2ccccc2)n1	basesurface narcotics	no data	5.0594	from  2.617 to  9.782	Out of domain	0.00%	0.00%	100.00%	Out of domain	37.09%	Out of Domain
109	1189805-46-6	Mephedron (4-Methylmethcathinon)	CC(C(=O)c1ccc(C)cc1)NC	Reactive unspecified	no data	<=41.0448	from 24.402 to 69.039	N/A	N/A	N/A	N/A	N/A	N/A	N/A
110	96-88-8	Mepivacaine	Cc1cccc(C)c1NC(=O)C1CCCCN1C	basesurface narcotics	no data	163.221	from 102.340 to 260.319	Out of domain	23.08%	0.00%	76.92%	Out of domain	81.25%	Out of Domain
111	54340-58-8	Meptazinol	CCC1(c2cccc(O)c2)CCCCN(C)C1	phenols and anilines	no data	3.8441	from  2.110 to  7.005	In domain	16.67%	0.00%	83.33%	Out of domain	Out of domain	Out of Domain
