No	CAS	Name	SMILES	Map reliability	BOD_Observed	BOD	±_BOD	Excess BOD	Parameter ranges	Correct fragments Structural domain	Incorrect fragments Structural domain	Unknown fragments Structural domain	Total Structural domain	Unable to mineralize	Total Domain	Remark
19	198904-31-3	Atazanavir	CC(C)(C)C{P-}(C(=O)NC{P-}(Cc1ccccc1)C{P-}(O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)C{P+}(C(C)(C)C)NC(=O)OC)NC(=O)OC	N/A	No data	0.07	0.02	0.071	In domain	77.78%	0.00%	22.22%	Out of domain	In domain	Out of Domain	 
20	83015-26-3	Atomoxetin	Cc1ccccc1OC{P+}(CCNC)c1ccccc1	0.0032	No data	0.62	0.09	0.62	In domain	77.78%	0.00%	22.22%	Out of domain	In domain	Out of Domain	 
21	1610-17-9	Atraton (Isobare zu Prometon-Hydroxy)	CCNc1nc(NC(C)C)nc(OC)n1	0.0915	No data	0	0.01	0.0043	In domain	90.00%	0.00%	10.00%	Out of domain	In domain	Out of Domain	 
22	1007-28-9	Atrazin-Desisopropyl	CCNc1nc(N)nc(Cl)n1	0.2187	No data	0.06	0.02	0.058	In domain	83.33%	0.00%	16.67%	Out of domain	In domain	Out of Domain	 
23	51-55-8	Atropine	CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2	0.0809	No data	0.11	0.04	0.11	In domain	87.50%	0.00%	12.50%	Out of domain	In domain	Out of Domain	 
24	35575-96-3	Azamethiphos	COP(=O)(OC)SCN1c2c(cc(Cl)cn2)OC1=O	N/A	No data	0.03	0.03	0.026	In domain	14.29%	0.00%	85.71%	Out of domain	In domain	Out of Domain	 
25	1185255-09-7	Azoxystrobinsäure	CO/C=C(\c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1)/C(O)=O	0.2087	No data	0.17	0.01	0.17	In domain	28.57%	0.00%	71.43%	Out of domain	In domain	Out of Domain	 
26	2156-27-6	Benproperine	CC(COc1ccccc1Cc1ccccc1)N1CCCCC1	N/A	No data	0.55	0.07	0.55	In domain	84.62%	0.00%	15.38%	Out of domain	In domain	Out of Domain	 
27	177406-68-7	Benthiavalicarb-isopropyl	CC(C)C{P-}(C(O)=NC{P+}(C)C1=Nc2ccc(F)cc2S1)N=C(O)OC(C)C	N/A	No data	0.17	0.03	0.17	In domain	28.57%	0.00%	71.43%	Out of domain	In domain	Out of Domain	 
28	153559-49-0	Bexarotene	Cc1cc2c(cc1C(=C)c1ccc(C(O)=O)cc1)C(C)(C)CCC2(C)C	0.0647	No data	0.02	0.01	0.018	In domain	81.25%	0.00%	18.75%	Out of domain	In domain	Out of Domain	 
29	90357-06-5	Bicalutamid	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	0.0995	No data	0.03	0.01	0.033	In domain	78.95%	0.00%	21.05%	Out of domain	In domain	Out of Domain	 
30	53774-07-5	Bifenox-säure	OC(=O)c1cc(Oc2ccc(Cl)cc2Cl)ccc1N(=O)=O	0.0269	No data	0.1	0.02	0.1	In domain	72.73%	0.00%	27.27%	Out of domain	In domain	Out of Domain	 
31	2438-72-4	Bufexamac	CCCCOc1ccc(CC(=O)NO)cc1	0.0304	No data	0.06	0.03	0.062	In domain	54.55%	0.00%	45.45%	Out of domain	In domain	Out of Domain	 
32	2180-92-9	Bupivacaine	CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C	0.0434	No data	0.08	0.05	0.083	In domain	81.25%	0.00%	18.75%	Out of domain	In domain	Out of Domain	 
33	34911-55-2	Bupropion	CC(C(=O)c1cccc(Cl)c1)NC(C)(C)C	0.0125	No data	0.08	0.01	0.076	In domain	72.73%	0.00%	27.27%	Out of domain	In domain	Out of Domain	 
34	154361-50-9	Capecitabin	CCCCCOC(=O)NC1C(F)=CN(C{P-}2C{P+}(O)C{P+}(O)C{P-}(C)O2)C(=O)N=1	N/A	No data	0.04	0.05	0.036	In domain	52.00%	4.00%	44.00%	Out of domain	In domain	Out of Domain	 
35	78-44-4	Carisoprodol	CCCC(C)(COC(N)=O)COC(=O)NC(C)C	0.0347	No data	0.05	0.06	0.046	In domain	83.33%	0.00%	16.67%	Out of domain	In domain	Out of Domain	 
36	57470-78-7	Celiprolol	CCN(CC)C(O)=Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1	0.0429	No data	0.2	0.02	0.2	In domain	63.64%	0.00%	36.36%	Out of domain	In domain	Out of Domain	 
37	17254-80-7	Chloridazon-methyl-desphenyl	CN1C(=O)C(Cl)=C(N)C=N1	0.0785	No data	0.27	0.03	0.27	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain	 
38	N/A	Chlorothalonil-4-hydroxy-Carbonsäureamid (TP611968)	N#Cc1c(Cl)c(C#N)c(Cl)c(Cl)c1Cl	0.0757	0	0	0.03	0.0037	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain	belong to training set
39	77-36-1	Chlorthalidon	NS(=O)(=O)c1cc(C2(O)c3ccccc3C(=O)N2)ccc1Cl	N/A	No data	0.26	0.03	0.26	In domain	58.33%	0.00%	41.67%	Out of domain	In domain	Out of Domain	 
40	82009-34-5	Cilastatin	CC1(C)CC{P+}1C(O)=N/C(=C\CCCCSCC{P+}(N)C(O)=O)/C(O)=O	0.0549	No data	0.1	0.01	0.096	In domain	50.00%	0.00%	50.00%	Out of domain	In domain	Out of Domain	 
41	18323-44-9	Clindamycin	CCCC{P+}1CC{P-}(C(=O)NC(C(C)Cl)C{P+}2C{P+}(O)C{P+}(O)C{P-}(O)C{P-}(SC)O2)N(C)C1	0.0142	No data	0.36	0.03	0.36	In domain	85.19%	0.00%	14.81%	Out of domain	In domain	Out of Domain	 
42	144457-28-3	Clopidogrel Carbonsäure	OC(=O)C{P+}(c1ccccc1Cl)N1CCC2=C(C1)C=CS2	0.0198	No data	0.05	0.04	0.053	In domain	46.67%	0.00%	53.33%	Out of domain	In domain	Out of Domain	 
43	23593-75-1	Clotrimazol	Clc1ccccc1C(c1ccccc1)(c1ccccc1)N1C=CN=C1	0.0926	No data	0.05	0.03	0.046	In domain	80.00%	0.00%	20.00%	Out of domain	In domain	Out of Domain	 
44	50-36-2	Cocaine	CN1C{P+}2CCC{P-}1CC{P+}(OC(=O)c1ccccc1)C{P+}2C(=O)OC	0.0086	No data	0.59	0.07	0.59	In domain	82.35%	0.00%	17.65%	Out of domain	In domain	Out of Domain	 
45	50-22-6	Corticosteron	CC{P+}12CCC(=O)C=C1CCC{P+}1C{P+}2C{P-}(O)CC{P-}2(C)C{P-}1CCC{P+}2C(=O)CO	0.0436	No data	0.36	0.02	0.36	In domain	80.00%	0.00%	20.00%	Out of domain	In domain	Out of Domain	 
46	53-06-5	Cortison	CC{P+}12CCC(=O)C=C1CCC{P+}1C{P+}2C(=O)CC{P-}2(C)C{P-}1CCC{P-}2(O)C(=O)CO	0.038	No data	0.4	0.02	0.4	In domain	76.92%	0.00%	23.08%	Out of domain	In domain	Out of Domain	 
47	50-18-0	Cyclophosphamid	O=P1(N(CCCl)CCCl)NCCCO1	0.1015	No data	0.02	0.02	0.016	In domain	35.71%	0.00%	64.29%	Out of domain	In domain	Out of Domain	 
48	101205-02-1	Cycloxydim	CCCC(=C1C(=O)CC(C2CCCSC2)CC1=O)NOCC	0.0275	No data	0.19	0.04	0.19	In domain	54.55%	0.00%	45.45%	Out of domain	In domain	Out of Domain	 
49	147-94-4	Cytarabin	NC1C=CN(C{P-}2C{P-}(O)C{P+}(O)C{P-}(CO)O2)C(=O)N=1	0.0212	No data	0.44	0.07	0.44	In domain	47.06%	52.94%	0.00%	Out of domain	In domain	Out of Domain	 
50	34245-14-2	D617	CC(C)C(CCCNC)(C#N)c1ccc(OC)c(OC)c1	0.0058	No data	0.46	0.09	0.46	In domain	87.50%	0.00%	12.50%	Out of domain	In domain	Out of Domain	 
51	206361-99-1	Darunavir	CC(C)CN(CC{P-}(O)C{P+}(Cc1ccccc1)NC(=O)OC{P-}1COC{P+}2C{P-}1CCO2)S(=O)(=O)c1ccc(N)cc1	0.0731	No data	0.11	0.01	0.11	In domain	75.00%	0.00%	25.00%	Out of domain	In domain	Out of Domain	 
52	201530-41-8	Deferasirox	OC(=O)c1ccc(N2C(=C3C=CC=CC3=O)NC(=C3C=CC=CC3=O)/N2)cc1	0.0259	No data	0.12	0.02	0.12	In domain	13.04%	0.00%	86.96%	Out of domain	In domain	Out of Domain	 
53	1177-87-3	Dexamethason-21-acetat	CC{P+}1CC{P-}2C{P+}3CCC4=CC(=O)C=CC{P-}4(C)C{P+}3(F)C{P-}(O)CC{P-}2(C)C{P+}1(O)C(=O)COC(C)=O	0.079	No data	0.27	0.02	0.27	In domain	67.74%	0.00%	32.26%	Out of domain	In domain	Out of Domain	 
54	85-79-0	Dibucaine	CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1	N/A	No data	0.13	0.02	0.13	In domain	81.25%	0.00%	18.75%	Out of domain	In domain	Out of Domain	 
55	65928-58-7	Dienogest	CC{P+}12CCC3C{P-}(CCC4=CC(=O)CCC=34)C{P+}1CCC{P+}2(O)CC#N	0.2456	No data	0.29	0.01	0.29	In domain	47.83%	0.00%	52.17%	Out of domain	In domain	Out of Domain	 
56	111-96-6	Diglym	COCCOCCOC	0.0084	3.33E-03	0	0.02	0.0042	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain	belong to training set
57	125-28-0	Dihydrocodein	CN1CCC{P-}23C{P-}4CCC{P+}(O)C{P+}2Oc2c3c(CC{P-}14)ccc2OC	0.031	No data	0.07	0.02	0.068	In domain	58.82%	0.00%	41.18%	Out of domain	In domain	Out of Domain	 
58	33286-22-5	Diltiazem	CC(=O)OC{P+}1C{P+}(c2ccc(OC)cc2)Sc2ccccc2N(CCN(C)C)C1=O	0.0198	No data	0.36	0.03	0.36	In domain	68.42%	0.00%	31.58%	Out of domain	In domain	Out of Domain	 
59	34205-21-5	Dimefuron	CC(C)(C)C1=NN(c2ccc(NC(=O)N(C)C)cc2Cl)C(=O)O1	0.049	No data	0.02	0.02	0.023	In domain	88.89%	0.00%	11.11%	Out of domain	In domain	Out of Domain	 
60	50563-36-5	Dimethachlor	Cc1cccc(C)c1N(CCOC)C(=O)CCl	0.0568	No data	0.17	0.01	0.17	In domain	75.00%	0.00%	25.00%	Out of domain	In domain	Out of Domain	 
61	1086384-49-7	Dimethachlor-OXA	Cc1cccc(C)c1N(CCOC)C(=O)C(O)=O	0.0377	No data	0.14	0.02	0.14	In domain	46.15%	0.00%	53.85%	Out of domain	In domain	Out of Domain	 
62	3567-62-2	Diuron-desmonomethyl (DCPMU) = 1-(3,4-Dichlorophenyl)-3-methylurea	CNC(=O)Nc1ccc(Cl)c(Cl)c1	0.107	No data	0	0.01	0.0049	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain	 
63	4710-17-2	DMSA (=N,N-Dimethylaminosulfanilid)	CN(C)S(=O)(=O)Nc1ccccc1	0.0572	No data	0.13	0.02	0.13	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain	 
64	74191-85-8	Doxazosin	COc1cc2c(cc1OC)c(N)nc(N1CCN(C(=O)C3COc4ccccc4O3)CC1)n2	0.0207	No data	0.12	0.01	0.12	In domain	63.16%	0.00%	36.84%	Out of domain	In domain	Out of Domain	 
65	141626-36-0	Dronedaron	CCCCC1=C(C(=O)c2ccc(OCCCN(CCCC)CCCC)cc2)c2cc(NS(C)(=O)=O)ccc2O1	0.054	No data	0.05	0.04	0.045	In domain	75.86%	0.00%	24.14%	Out of domain	In domain	Out of Domain	 
66	17692-31-8	Dropropizine	OCC(O)CN1CCN(c2ccccc2)CC1	0.0624	No data	0.17	0.02	0.17	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain	 
67	154598-52-4	Efavirenz	O=C1Nc2ccc(Cl)cc2C{P-}(C#CC2CC2)(C(F)(F)F)O1	0.0314	No data	0.01	0.01	0.0064	In domain	56.25%	0.00%	43.75%	Out of domain	In domain	Out of Domain	 
68	143491-57-0	Emtricitabine	NC1C(F)=CN(C{P+}2CSC{P+}(CO)O2)C(=O)N=1	N/A	No data	0.31	0.02	0.31	In domain	31.25%	6.25%	62.50%	Out of domain	In domain	Out of Domain	 
69	299-42-3	Ephedrin	CC{P-}(C{P+}(O)c1ccccc1)NC	0.0261	No data	0.57	0.04	0.57	In domain	71.43%	0.00%	28.57%	Out of domain	In domain	Out of Domain	 
70	133040-01-4	Eprosartan	CCCCC1=NC=C(/C=C(\CC2=CC=CS2)C(O)=O)N1Cc1ccc(C(O)=O)cc1	0.0415	No data	0.38	0.05	0.38	In domain	36.00%	0.00%	64.00%	Out of domain	In domain	Out of Domain	 
71	26244-33-7	Ethofumesat-2-keto	CC1(C)c2cc(OS(C)(=O)=O)ccc2OC1=O	0.0198	No data	0.07	0.03	0.067	In domain	66.67%	0.00%	33.33%	Out of domain	In domain	Out of Domain	 
72	41340-25-4	Etodolac	CCc1cccc2c1NC1=C2CCOC1(CC)CC(O)=O	0.0373	No data	0.03	0.01	0.029	In domain	56.25%	0.00%	43.75%	Out of domain	In domain	Out of Domain	 
73	107868-30-4	Exemestan	CC{P+}12CCC{P-}3C{P-}(CC(=C)C4=CC(=O)C=CC{P+}34C)C{P+}1CCC2=O	0.0299	No data	0.16	0.07	0.16	In domain	50.00%	0.00%	50.00%	Out of domain	In domain	Out of Domain	 
74	79127-80-3	Fenoxycarb	CCOC(=O)NCCOc1ccc(Oc2ccccc2)cc1	0.0863	No data	0.03	0.07	0.03	In domain	91.67%	0.00%	8.33%	Out of domain	In domain	Out of Domain	 
75	67306-03-0	Fenpropimorph	CC(Cc1ccc(C(C)(C)C)cc1)CN1CC(C)OC(C)C1	0.019	No data	0.01	0.01	0.013	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain	 
76	120067-83-6	Fipronil-sulfid	NC1=C(SC(F)(F)F)C(C#N)=NN1c1c(Cl)cc(C(F)(F)F)cc1Cl	0.0881	No data	0	0.01	0.0023	In domain	50.00%	0.00%	50.00%	Out of domain	In domain	Out of Domain	 
77	120068-36-2	Fipronil-sulfon	NC1=C(S(=O)(=O)C(F)(F)F)C(C#N)=NN1c1c(Cl)cc(C(F)(F)F)cc1Cl	0.016	No data	0	0.01	0.0034	In domain	45.45%	0.00%	54.55%	Out of domain	In domain	Out of Domain	 
78	54143-55-4	Flecainid	O=C(c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F)NCC1CCCCN1	0.0519	No data	0.25	0.02	0.25	In domain	86.96%	0.00%	13.04%	Out of domain	In domain	Out of Domain	 
79	86386-73-4	Fluconazol	OC(CN1C=NC=N1)(CN1C=NC=N1)c1ccc(F)cc1F	0.1747	No data	0.01	0.02	0.0051	In domain	11.76%	0.00%	88.24%	Out of domain	In domain	Out of Domain	 
80	514-36-3	Fludrocortison	CC(=O)OCC(=O)C{P-}1(O)CCC{P-}2C{P+}3CCC4=CC(=O)CCC{P-}4(C)C{P+}3(F)C{P-}(O)CC{P+}12C	N/A	No data	0.37	0.02	0.37	In domain	80.00%	0.00%	20.00%	Out of domain	In domain	Out of Domain	 
81	142459-58-3	Flufenacet	CC(C)N(C(=O)COC1=NN=C(C(F)(F)F)S1)c1ccc(F)cc1	0.0497	No data	0.05	0.03	0.047	In domain	42.11%	0.00%	57.89%	Out of domain	In domain	Out of Domain	 
82	201668-31-7	Flufenacet-OXA	CC(C)N(c1ccc(F)cc1)C(=O)C(O)=O	0.0972	No data	0.08	0.03	0.079	In domain	27.27%	0.00%	72.73%	Out of domain	In domain	Out of Domain	 
83	530-78-9	Flufenaminsäure	OC(=O)c1ccccc1Nc1cccc(C(F)(F)F)c1	0.0919	No data	0.04	0.05	0.036	In domain	90.00%	0.00%	10.00%	Out of domain	In domain	Out of Domain	 
84	54910-89-3	Fluoxetin	CNCCC(c1ccccc1)Oc1ccc(C(F)(F)F)cc1	0.0135	No data	0.41	0.06	0.41	In domain	83.33%	0.00%	16.67%	Out of domain	In domain	Out of Domain	 
85	85509-19-9	Flusilazol	C[Si](CN1C=NC=N1)(c1ccc(F)cc1)c1ccc(F)cc1	0.2196	No data	0.01	0.01	0.0054	In domain	16.67%	0.00%	83.33%	Out of domain	In domain	Out of Domain	 
86	93957-54-1	Fluvastatin	CC(C)N1c2ccccc2C(c2ccc(F)cc2)=C1/C=C/C{P-}(O)CC{P+}(O)CC(O)=O	N/A	No data	0.44	0.05	0.44	In domain	55.00%	0.00%	45.00%	Out of domain	In domain	Out of Domain	 
87	98048-97-6	Fosinopril	CCC(=O)OC(C(C)C)OP(=O)(CCCCc1ccccc1)CC(=O)N1CC{P+}(C2CCCCC2)CC{P-}1C(O)=O	0.0488	No data	0.13	0.02	0.13	In domain	73.53%	0.00%	26.47%	Out of domain	In domain	Out of Domain	 
88	54-31-9	Furosemid	NS(=O)(=O)c1cc(C(O)=O)c(NCC2=CC=CO2)cc1Cl	0.0809	No data	0.04	0.01	0.044	In domain	75.00%	0.00%	25.00%	Out of domain	In domain	Out of Domain	 
89	256393-37-0	Galaxolidon	CC1COC(=O)c2cc3c(cc12)C(C)(C)C(C)C3(C)C	0.0634	No data	0.05	0.01	0.048	In domain	66.67%	0.00%	33.33%	Out of domain	In domain	Out of Domain	 
90	125-29-1	Hydrocodone	CN1CCC{P-}23C{P-}4CCC(=O)C{P+}2Oc2c3c(CC{P-}14)ccc2OC	0.0279	No data	0.07	0.02	0.068	In domain	58.82%	0.00%	41.18%	Out of domain	In domain	Out of Domain	 
91	50-23-7	Hydrocortison	CC{P+}12CCC(=O)C=C1CCC{P+}1C{P+}2C{P-}(O)CC{P-}2(C)C{P-}1CCC{P-}2(O)C(=O)CO	0.0383	No data	0.4	0.02	0.4	In domain	80.77%	0.00%	19.23%	Out of domain	In domain	Out of Domain	 
92	3778-73-2	Ifosfamid	O=P1(NCCCl)N(CCCl)CCCO1	0.2103	No data	0.12	0.02	0.12	In domain	35.71%	0.00%	64.29%	Out of domain	In domain	Out of Domain	 
93	115970-17-7	Imidacloprid-desnitro	O=N(=O)NC1=NCCN1Cc1ccc(Cl)nc1	N/A	No data	0.13	0.07	0.13	In domain	8.33%	16.67%	75.00%	Out of domain	In domain	Out of Domain	 
94	120868-66-8	Imidacloprid-urea	OC1=NCCN1Cc1ccc(Cl)nc1	N/A	No data	0.14	0.07	0.14	In domain	11.11%	0.00%	88.89%	Out of domain	In domain	Out of Domain	 
95	256-96-2	Iminostilben	C1=Cc2ccccc2Nc2ccccc12	0.1357	No data	0.04	0.11	0.045	In domain	20.00%	0.00%	80.00%	Out of domain	In domain	Out of Domain	 
96	53-86-1	Indomethacin	CC1=C(CC(O)=O)c2cc(OC)ccc2N1C(=O)c1ccc(Cl)cc1	N/A	No data	0.31	0.02	0.31	In domain	46.67%	0.00%	53.33%	Out of domain	In domain	Out of Domain	 
97	140923-17-7	Iprovalicarb	CC(C)C{P-}(C(O)=NC(C)c1ccc(C)cc1)N=C(O)OC(C)C	0.0342	No data	0.19	0.09	0.19	In domain	44.44%	0.00%	55.56%	Out of domain	In domain	Out of Domain	 
98	N/A	Irgarol-descyclopropyl	CC(C)(C)Nc1nc(N)nc(SC)n1	0.1827	No data	0.04	0.01	0.04	In domain	77.78%	0.00%	22.22%	Out of domain	In domain	Out of Domain	 
99	56046-17-4	Isoproturon-didemethyl = 1-(4-Isoprophenyl)urea	CC(C)c1ccc(NC(N)=O)cc1	0.0876	No data	0.02	0.02	0.016	In domain	75.00%	0.00%	25.00%	Out of domain	In domain	Out of Domain	 
100	34123-57-4	Isoproturon-monodemethyl = 1-(4-Isoprophenyl)-3-methylurea	CC(C)c1ccc(NC(=O)NC)cc1	0.0777	No data	0.02	0.02	0.015	In domain	88.89%	0.00%	11.11%	Out of domain	In domain	Out of Domain	 
101	65277-42-1	Ketoconazol	CC(=O)N1CCN(c2ccc(OCC{P+}3COC{P-}(CN4C=CN=C4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1	0.0116	No data	0.05	0.01	0.054	In domain	88.46%	0.00%	11.54%	Out of domain	In domain	Out of Domain	 
102	102767-28-2	Levetiracetam	CCC{P+}(C(N)=O)N1CCCC1=O	0.0188	No data	0.07	0.04	0.067	In domain	75.00%	0.00%	25.00%	Out of domain	In domain	Out of Domain	 
103	165800-03-3	Linezolid	CC(=O)NCC{P-}1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1	0.0203	No data	0.1	0.01	0.1	In domain	68.42%	0.00%	31.58%	Out of domain	In domain	Out of Domain	 
104	846-49-1	Lorazepam	OC1C(=O)Nc2ccc(Cl)cc2C(c2ccccc2Cl)=N1	0.1118	No data	0.05	0.02	0.054	In domain	54.55%	0.00%	45.45%	Out of domain	In domain	Out of Domain	 
105	75330-75-5	Lovastatin	CCC{P+}(C)C(=O)OC{P-}1CC{P-}(C)C=C2C=CC{P+}(C)C{P+}(CCC{P+}3CC{P-}(O)CC(=O)O3)C{P-}12	0.019	No data	0.44	0.03	0.44	In domain	72.41%	0.00%	27.59%	Out of domain	In domain	Out of Domain	 
106	94-81-5	MCPB	Cc1cc(Cl)ccc1OCCCC(O)=O	0.2286	No data	0.35	0.01	0.35	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain	 
107	93-65-2	Mecoprop	CC(C(O)=O)Oc1ccc(Cl)cc1C	0.0691	No data	0.01	0.01	0.009	In domain	88.89%	0.00%	11.11%	Out of domain	In domain	Out of Domain	 
108	110235-47-7	Mepanipyrim	CC#Cc1cc(C)nc(Nc2ccccc2)n1	0.0981	No data	0.01	0.03	0.015	In domain	28.57%	0.00%	71.43%	Out of domain	In domain	Out of Domain	 
109	1189805-46-6	Mephedron (4-Methylmethcathinon)	CC(C(=O)c1ccc(C)cc1)NC	N/A	No data	0.5	0.03	0.5	In domain	87.50%	0.00%	12.50%	Out of domain	In domain	Out of Domain	 
110	96-88-8	Mepivacaine	Cc1cccc(C)c1NC(=O)C1CCCCN1C	0.0624	No data	0.09	0.05	0.087	In domain	76.92%	0.00%	23.08%	Out of domain	In domain	Out of Domain	 
111	54340-58-8	Meptazinol	CCC1(c2cccc(O)c2)CCCCN(C)C1	0.0834	No data	0.01	0.01	0.014	In domain	83.33%	0.00%	16.67%	Out of domain	In domain	Out of Domain	 
112	36993-94-9	Metamitron-Desamino	CC1NN=C(c2ccccc2)C(=O)N=1	0.1336	No data	0.09	0.05	0.093	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain	 
113	1665-48-1	Metaxalone	Cc1cc(C)cc(OCC2CNC(=O)O2)c1	0.0088	No data	0.16	0.03	0.16	In domain	54.55%	0.00%	45.45%	Out of domain	In domain	Out of Domain	 
114	N/A	Metazachlor-OXA	Cc1cccc(C)c1N(CN1C=CC=N1)C(=O)C(O)=O	0.0165	No data	0.12	0.04	0.12	In domain	13.33%	0.00%	86.67%	Out of domain	In domain	Out of Domain	 
115	125116-23-6	Metconazole	CC1(C)CCC(Cc2ccc(Cl)cc2)C1(O)CN1C=NC=N1	0.0841	No data	0.01	0.01	0.0074	In domain	52.94%	0.00%	47.06%	Out of domain	In domain	Out of Domain	 
116	76-99-3	Methadon	CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1	0.0309	No data	0.03	0.02	0.029	In domain	84.62%	0.00%	15.38%	Out of domain	In domain	Out of Domain	 
