Parent Cas#	Parent Chem. Name	Parent Smiles	Parent Map reliability	Parent Liver_Muta	Parent in vivo Liver predicted Clastogen	Parent Invitro predictions	Parent Mechanism	Parent Alert info	Parent ModelReliability	Parent Type of detoxification	Parent detoxification paths	Parent Parameter ranges	Parent Structural domain				Parent Total Domain	Metabolite in vivo Liver predicted Clastogen	Metabolite Invitro predictions	Metabolite Mechanism	Metabolite Alert info	Metabolite ModelReliability	Metabolite Type of detoxification	Summary Map reliability	Summary in vivo Liver predicted Clastogen	Summary Mechanism	Summary Alert info	Summary ModelReliability	Summary Type of detoxification	Summary detoxification paths	Summary Total Domain
39227-28-6	"123478-HxCDD (1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin)"	Clc1cc2c(cc1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2	0.5165	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.5165	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
70648-26-9	"123478-HxCDF (1,2,3,4,7,8-Hexachlorodibenzofuran)"	Clc1cc2c(cc1Cl)-c1c(Cl)c(Cl)c(Cl)c(Cl)c1O2	1	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	1	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
57653-85-7	"123678-HxCDD (1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin)"	Clc1cc2c(c(Cl)c1Cl)Oc1cc(Cl)c(Cl)c(Cl)c1O2	0.6429	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.6429	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
57117-44-9	"123678-HxCDF (1,2,3,6,7,8-Hexachlorodibenzofuran)"	Clc1cc2c(c(Cl)c1Cl)-c1cc(Cl)c(Cl)c(Cl)c1O2	0.8937	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.8937	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
19408-74-3	"123789-HxCDD (1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin)"	Clc1cc2c(c(Cl)c1Cl)Oc1c(cc(Cl)c(Cl)c1Cl)O2	0.6772	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.6772	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
72918-21-9	"123789-HxCDF (1,2,3,7,8,9-Hexachlorodibenzofuran)"	Clc1cc2c(c(Cl)c1Cl)-c1c(cc(Cl)c(Cl)c1Cl)O2	0.906	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.906	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
40321-76-4	"12378-PeCDD (1,2,3,7,8-Pentachlorodibenzo-p-dioxin)"	Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)c(Cl)c1O2	0.6247	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.6247	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
57117-41-6	"12378-PeCDF (1,2,3,7,8-Pentachlorodibenzofuran)"	Clc1cc2c(cc1Cl)-c1c(cc(Cl)c(Cl)c1Cl)O2	0.8333	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.8333	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
*-1-9	137Cs	 																													
57-91-0	17-alpha Estradiol	CC12CCC3C(CCc4cc(O)ccc34)C1CCC2O	0.523	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Substituted Phenols	 	Belongs to deacivated path	* 20. Phenolic Derivatives;26. Phenolic Derivatives	In domain	66.67%	6.67%	26.67%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA positive	Interactions with topoisomerases / proteins	Hydroxylated phenols	Undetermined (0 <n< 10)	Belongs to deacivated path	0.523	in vivo Liver Clastogen negative	Interactions with topoisomerases / proteins	Hydroxylated phenols	Undetermined (0 <n< 10)	Belongs to deacivated path	26. Phenolic Derivatives	Out of Domain
57-63-6	17-alpha-Ethinylestradiol	CC12CCC3C(CCc4cc(O)ccc34)C1CCC2(O)C#C	0.3066	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Substituted Phenols	 	Belongs to deacivated path	* 20. Phenolic Derivatives;26. Phenolic Derivatives	In domain	58.82%	0.00%	41.18%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA positive	Interactions with topoisomerases / proteins	Hydroxylated phenols	Undetermined (0 <n< 10)	Belongs to deacivated path	0.3066	in vivo Liver Clastogen negative	Interactions with topoisomerases / proteins	Hydroxylated phenols	Undetermined (0 <n< 10)	Belongs to deacivated path	26. Phenolic Derivatives	Out of Domain
*50-63-6	17-beta Estradiol	CC12CCC3C(CCc4cc(O)ccc34)C1CCC2O	0.523	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Substituted Phenols	 	Belongs to deacivated path	* 20. Phenolic Derivatives;26. Phenolic Derivatives	In domain	66.67%	6.67%	26.67%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA positive	Interactions with topoisomerases / proteins	Hydroxylated phenols	Undetermined (0 <n< 10)	Belongs to deacivated path	0.523	in vivo Liver Clastogen negative	Interactions with topoisomerases / proteins	Hydroxylated phenols	Undetermined (0 <n< 10)	Belongs to deacivated path	26. Phenolic Derivatives	Out of Domain
*-2-3	1998 WHO-TEQ for PCBs (1998 WorldHealthOrganisation-ToxicEquivalentQuantities) Lower-bound	 																													
*-2-4	1998 WHO-TEQ for PCBs (1998 WorldHealthOrganisation-ToxicEquivalentQuantities) Middle-bound	 																													
*-2-5	1998 WHO-TEQ for PCBs (1998 WorldHealthOrganisation-ToxicEquivalentQuantities) Upper-bound	 																													
*-2-6	1998 WHO-TEQ for PCDD/Fs (1998 WorldHealthOrganisation-ToxicEquivalentQuantities) Lower-bound	 																													
*-2-7	1998 WHO-TEQ for PCDD/Fs (1998 WorldHealthOrganisation-ToxicEquivalentQuantities) Middle-bound	 																													
*-2-8	1998 WHO-TEQ for PCDD/Fs (1998 WorldHealthOrganisation-ToxicEquivalentQuantities) Upper-bound	 																													
95-14-7	1H-Benzotriazole	C1=CC=CC2C1=NNN=2	0.6176	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Quinoneimines	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	Epoxides and Aziridines	 	 	0.6176	in vivo Liver Clastogen negative	 	Quinoneimines	 	 	 	Out of Domain
90-15-3	1-Naphthol	Oc1cccc2ccccc12	1	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Substituted Phenols	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	 	 	 	 	 	 	1	in vivo Liver Clastogen negative	 	Substituted Phenols	 	 	 	Out of Domain
71758-44-6	2-(2-(Chlorophenyl)amino)benzaldehyde	O=Cc1ccccc1Nc1ccccc1Cl	0.4435	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	N-Substituted Aromatic Amines	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.4435	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
615-22-5	2-(Methylthio)benzothiazole	CSC1=Nc2ccccc2S1	0.6123	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.6123	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
10222-01-2	"2,2-Dibromo-2-cyanoacetamide"	NC(=O)C(Br)(Br)C#N	0.3333	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	Belongs to deacivated path	* 52. Carboxylic acid amines	In domain	37.50%	0.00%	62.50%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	Belongs to deacivated path	0.3333	in vivo Liver Clastogen negative	 	 	 	Belongs to deacivated path	* 52. Carboxylic acid amines	Out of Domain
24650-42-8	"2,2-Dimethoxy-2-phenylacetophenon"	COC(c1ccccc1)(C(=O)c1ccccc1)OC	0.4762	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	55.56%	0.00%	44.44%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.4762	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
3033-77-0	"2,3-Epoxypropyltrimethylammonium"	CN{+}(C)(C)(.Cl{-})CC1CO1	0.4259	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Epoxides and Aziridines	Undetermined (0 <n< 10)	 	 	Out of domain	22.22%	0.00%	77.78%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Epoxides and Aziridines	Undetermined (0 <n< 10)	 	0.4259	in vivo Liver Clastogen positive	Interaction with DNA 	Epoxides and Aziridines	Undetermined (0 <n< 10)	 	 	Out of Domain
94-75-7	"2,4-D"	OC(=O)COc1ccc(Cl)cc1Cl	0.578	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	62.50%	0.00%	37.50%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.578	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
615-05-4	"2,4-diaminoanisole"	COc1ccc(N)cc1N	0.5132	No data	in vivo Liver Clastogen negative	in vitro CA positive	Interaction with DNA  &Interactions with topoisomerases / proteins	"Single-ring Substituted Primary Aromatic Amines,Substituted Anilines"	Undetermined (0 <n< 10)	Belongs to deacivated path	3. Single Ring Aromatic Amines	In domain	40.00%	20.00%	40.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA positive	Interaction with DNA  &Interactions with topoisomerases / proteins	"Single-ring Substituted Primary Aromatic Amines,Substituted Anilines"	Undetermined (0 <n< 10)	Belongs to deacivated path	0.5132	in vivo Liver Clastogen negative	Interaction with DNA  &Interactions with topoisomerases / proteins	"Single-ring Substituted Primary Aromatic Amines,Substituted Anilines"	Undetermined (0 <n< 10)	Belongs to deacivated path	3. Single Ring Aromatic Amines	Out of Domain
88-63-1	"2,4-diaminobenzenesulfonic acid"	Nc1ccc(S(O)(=O)=O)c(N)c1	1	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	"Single-ring Substituted Primary Aromatic Amines,Substituted Anilines"	 	Belongs to deacivated path	* 1. Single Ring Aromatic Amines	Out of domain	14.29%	14.29%	71.43%	Out of domain	Out of Domain	 	 	 	 	 	 	1	in vivo Liver Clastogen negative	 	"Single-ring Substituted Primary Aromatic Amines,Substituted Anilines"	 	Belongs to deacivated path	* 1. Single Ring Aromatic Amines	Out of Domain
120-83-2	"2,4-Dichlorophenol"	Oc1ccc(Cl)cc1Cl	0.5961	No data	in vivo Liver Clastogen negative	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	Belongs to deacivated path	26. Phenolic Derivatives	In domain	50.00%	0.00%	50.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	Epoxides and Aziridines	 	 	0.5961	in vivo Liver Clastogen negative	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	Belongs to deacivated path	26. Phenolic Derivatives	Out of Domain
51-28-5	"2,4-Dinitrophenol"	Oc1ccc(N(=O)=O)cc1N(=O)=O	0.4419	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Polynitroarenes	Undetermined (0 <n< 10)	 	 	In domain	75.00%	0.00%	25.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA  &Interactions with topoisomerases / proteins	"Nitroaniline Derivatives,Substituted Anilines"	Undetermined (0 <n< 10)	 	0.4419	in vivo Liver Clastogen positive	Interaction with DNA 	Polynitroarenes	Undetermined (0 <n< 10)	 	 	Out of Domain
110-44-1	"2,4-Hexadienoic acid (sorbic acid)"	CC=CC=CC(O)=O	0.2225	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	"alpha,beta-Unsaturated Carboxylic Acids and Esters"	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	 	0.2225	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	 	 	Out of Domain
2008-58-4	"2,6-Dichlorobenzamide"	NC(=O)c1c(Cl)cccc1Cl	0.5348	No data	in vivo Liver Clastogen negative	in vitro CA positive	Interactions with topoisomerases / proteins	Carboxylic Acid Amides	Undetermined (0 <n< 10)	Belongs to deacivated path	52. Carboxylic acid amines;53. Carboxylic acid amines	In domain	33.33%	0.00%	66.67%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	"Substituted Phenols,Carboxylic Acid Amides"	Undetermined (0 <n< 10)	 	0.5348	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	"Substituted Phenols,Carboxylic Acid Amides"	Undetermined (0 <n< 10)	 	 	Out of Domain
128-39-2	"2,6-Di-tert-butylphenol"	CC(C)(C)c1cccc(C(C)(C)C)c1O	0.1266	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Substituted Phenols	 	 	 	In domain	60.00%	0.00%	40.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	Hydroxylated phenols	 	 	0.1266	in vivo Liver Clastogen negative	 	Substituted Phenols	 	 	 	Out of Domain
87-62-7	"2,6-Xylidine"	Cc1cccc(C)c1N	0.3057	No data	in vivo Liver Clastogen negative	in vitro CA positive	Interaction with DNA 	Single-ring Substituted Primary Aromatic Amines	Undetermined (0 <n< 10)	Belongs to deacivated path	2. Single Ring Aromatic Amines;7. Single Ring Aromatic Amines;8. Single Ring Aromatic Amines	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA positive	Interaction with DNA 	Single-ring Substituted Primary Aromatic Amines	Undetermined (0 <n< 10)	Belongs to deacivated path	0.3057	in vivo Liver Clastogen negative	Interaction with DNA 	Single-ring Substituted Primary Aromatic Amines	Undetermined (0 <n< 10)	Belongs to deacivated path	2. Single Ring Aromatic Amines;7. Single Ring Aromatic Amines;8. Single Ring Aromatic Amines	Out of Domain
1655-35-2	"2,7-Naphthalenedisulfonic acid"	O=S(=O)(c1ccc2ccc(S(=O)(=O)O{-}.[Na]{+})cc2c1)O{-}.[Na]{+}	N/A	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	Out of domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	 	 	 	 	 	 	N/A	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
*-4-6	2005 WHO-TEQ for PCBs (2005 WorldHealthOrganisation-ToxicEquivalentQuantities) Lower-bound	 																													
*-4-7	2005 WHO-TEQ for PCBs (2005 WorldHealthOrganisation-ToxicEquivalentQuantities) Middle-bound	 																													
*-4-8	2005 WHO-TEQ for PCBs (2005 WorldHealthOrganisation-ToxicEquivalentQuantities) Upper-bound	 																													
*-4-9	2005 WHO-TEQ for PCDD/Fs (2005 WorldHealthOrganisation-ToxicEquivalentQuantities) Lower-bound	 																													
*-5-0	2005 WHO-TEQ for PCDD/Fs (2005 WorldHealthOrganisation-ToxicEquivalentQuantities) Middle-bound	 																													
*-5-1	2005 WHO-TEQ for PCDD/Fs (2005 WorldHealthOrganisation-ToxicEquivalentQuantities) Upper-bound	 																													
60851-34-5	"234678-HxCDF (2,3,4,6,7,8-Hexachlorodibenzofuran)"	Clc1cc2c(c(Cl)c1Cl)Oc1c-2cc(Cl)c(Cl)c1Cl	0.8778	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.8778	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
57117-31-4	"23478-PeCDF (2,3,4,7,8-Pentachlorodibenzofuran)"	Clc1cc2c(cc1Cl)-c1cc(Cl)c(Cl)c(Cl)c1O2	0.807	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.807	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
1746-01-6	2378-TCDD (Tetrachlorodibenzo-p-dioxin)	Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2	0.5974	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.5974	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
51207-31-9	"2378-TCDF (2,3,7,8-Tetrachlorodibenzofuran)"	Clc1cc2c(cc1Cl)-c1cc(Cl)c(Cl)cc1O2	0.7284	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.7284	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
93-08-3	2-Acetonaphthone / 2-acetylnaphthaline	CC(=O)c1ccc2ccccc2c1	0.4762	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	50.00%	0.00%	50.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.4762	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
