No	CAS	Name	SMILES	Pimephales promelas mode of action	Pimephales promelas_Observed	Pimephales promelas_StructCalcValue_Toxicity mg/L	Pimephales promelas_Confidence	Parameter ranges	Correct fragments Structural domain	Incorrect fragments Structural domain	Unknown fragments Structural domain	Total Structural domain	Parametric coverage	Total Domain	Microbial toxicity_NEW	Parameter ranges	Correct fragments Structural domain	Incorrect fragments Structural domain	Unknown fragments Structural domain	Total Structural domain	Unable to mineralize	Total Domain	Remark
11	519-65-3	AMDOPH	CC(=O)N(C)N(c1ccccc1)C(=O)C(=O)N(C)C	Reactive unspecified	no data	<=19783.1074	from 12962.946 to 30191.539	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain	 
12	6640-24-0	1-(3-Chlorophenyl)-piperazin	Clc1cccc(N2CCNCC2)c1	basesurface narcotics	no data	74.6611	from 63.527 to 87.747	In domain	50.00%	0.00%	50.00%	Out of domain	70.65%	Out of Domain	 Aryl halide suspected BOD inhibition effect	In domain	87.50%	0.00%	12.50%	Out of domain	In domain	Out of Domain	 
13	15532-75-9	1-(3-Trifluoromethylphenyl)-piperazin	FC(F)(F)c1cccc(N2CCN{+}CC2)c1	Reactive unspecified	no data	<=245.1794*	from 127.264 to 472.349	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Ammonium salts suspected BOD inhibition effect	In domain	63.64%	0.00%	36.36%	Out of domain	In domain	Out of Domain	 
14	80-73-9	1,3-Dimethyl-2-imidazolidinon	CN1CCN(C)C1=O	basesurface narcotics	no data	7543.1489	from 5565.410 to 10223.703	In domain	0.00%	0.00%	100.00%	Out of domain	Out of domain	Out of Domain	 (N/A)	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain	 
15	N/A	1-/4-Hydroxy-Benzotriazol	Oc1cccc2c1N=NN2_ON1c2ccccc2N=N1	 																			 
16	471-53-4	18-beta-Glycyrrhetinsäure	CC1(C)C{P-}(O)CCC{P-}2(C)C{P-}1CCC{P+}1(C)C{P+}2C(=O)C=C2C{P+}3CC{P-}(C)(C(O)=O)CCC{P-}3(C)CCC{P-}12C	Reactive unspecified	no data	<=0.1285	from  0.089 to  0.186	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	82.35%	0.00%	17.65%	Out of domain	In domain	Out of Domain	 
17	2759-28-6	1-Benzylpiperazin	C1CNCCN1Cc1ccccc1	narcotic amines	47.3947	169.1719	from 123.842 to 231.094	In domain	100.00%	0.00%	0.00%	In domain	99.85%	In domain	 (N/A)	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain	 
18	114248-23-6	2',2'-Difluorodeoxyuridin	OCC1C(O)C(F)(F)C(N2CCC(=O)NC2=O)O1	Reactive unspecified	no data	<=56835.2695	from 36838.965 to 87685.633	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Urea derivatives BOD inhibition effect	In domain	66.67%	0.00%	33.33%	Out of domain	In domain	Out of Domain	 
19	198904-31-3	Atazanavir	CC(C)(C)C{P-}(C(=O)NC{P-}(Cc1ccccc1)C{P-}(O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)C{P+}(C(C)(C)C)NC(=O)OC)NC(=O)OC	Reactive unspecified	no data	<=54.4598	from 44.662 to 66.407	N/A	N/A	N/A	N/A	N/A	N/A	N/A	" Pyridine suspected BOD inhibition effect;Tert-Butyl suspected inhibition effect"	In domain	77.78%	0.00%	22.22%	Out of domain	In domain	Out of Domain	 
20	83015-26-3	Atomoxetin	Cc1ccccc1OC{P+}(CCNC)c1ccccc1	narcotic amines	no data	2.1717	from  1.151 to  4.097	In domain	22.22%	0.00%	77.78%	Out of domain	19.90%	Out of Domain	 (N/A)	In domain	77.78%	0.00%	22.22%	Out of domain	In domain	Out of Domain	 
21	1610-17-9	Atraton (Isobare zu Prometon-Hydroxy)	CCNc1nc(NC(C)C)nc(OC)n1	basesurface narcotics	no data	12.1081	from 10.231 to 14.330	In domain	50.00%	0.00%	50.00%	Out of domain	59.54%	Out of Domain	 N-Heterocyclic aromatic amine suspected BOD inhibition effect	In domain	90.00%	0.00%	10.00%	Out of domain	In domain	Out of Domain	 
22	1007-28-9	Atrazin-Desisopropyl	CCNc1nc(N)nc(Cl)n1	Reactive unspecified	no data	<=286.3213	from 230.021 to 356.401	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 N-Heterocyclic aromatic amine suspected BOD inhibition effect	In domain	83.33%	0.00%	16.67%	Out of domain	In domain	Out of Domain	 
23	51-55-8	Atropine	CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2	esters	no data	47.9173	from 28.838 to 79.620	Out of domain	6.25%	0.00%	93.75%	Out of domain	30.50%	Out of Domain	" Alkane, branched tertiary carbon suspected BOD inhibition effect;Saturated heterocyclic suspected BOD  inhibition effect"	In domain	87.50%	0.00%	12.50%	Out of domain	In domain	Out of Domain	 
24	35575-96-3	Azamethiphos	COP(=O)(OC)SCN1c2c(cc(Cl)cn2)OC1=O	Reactive unspecified	no data	<=590.2470	from 412.633 to 844.314	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Pyridine suspected BOD inhibition effect	In domain	14.29%	0.00%	85.71%	Out of domain	In domain	Out of Domain	 
25	1185255-09-7	Azoxystrobinsäure	CO/C=C(\c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1)/C(O)=O	Reactive unspecified	no data	<=522.4011*	from 391.758 to 696.611	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Nitrile suspected BOD inhibition effect	In domain	28.57%	0.00%	71.43%	Out of domain	In domain	Out of Domain	 
26	2156-27-6	Benproperine	CC(COc1ccccc1Cc1ccccc1)N1CCCCC1	narcotic amines	no data	0.3801	from  0.166 to  0.872	Out of domain	61.54%	0.00%	38.46%	Out of domain	8.11%	Out of Domain	 Saturated heterocyclic suspected BOD  inhibition effect	In domain	84.62%	0.00%	15.38%	Out of domain	In domain	Out of Domain	 
27	177406-68-7	Benthiavalicarb-isopropyl	CC(C)C{P-}(C(O)=NC{P+}(C)C1=Nc2ccc(F)cc2S1)N=C(O)OC(C)C	Reactive unspecified	no data	<=0.6553	from  0.490 to  0.877	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Aryl halide suspected BOD inhibition effect	In domain	28.57%	0.00%	71.43%	Out of domain	In domain	Out of Domain	 
28	153559-49-0	Bexarotene	Cc1cc2c(cc1C(=C)c1ccc(C(O)=O)cc1)C(C)(C)CCC2(C)C	Reactive unspecified	no data	<=0.2978*	from  0.218 to  0.406	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	81.25%	0.00%	18.75%	Out of domain	In domain	Out of Domain	 
29	90357-06-5	Bicalutamid	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	Reactive unspecified	no data	<=64.3974	from 47.551 to 87.212	N/A	N/A	N/A	N/A	N/A	N/A	N/A	" Aromatic amine suspected BOD inhibition effect;Aryl halide suspected BOD inhibition effect;Nitrile suspected BOD inhibition effect"	In domain	78.95%	0.00%	21.05%	Out of domain	In domain	Out of Domain	 
30	53774-07-5	Bifenox-säure	OC(=O)c1cc(Oc2ccc(Cl)cc2Cl)ccc1N(=O)=O	Reactive unspecified	no data	<=2.3267	from  1.697 to  3.190	N/A	N/A	N/A	N/A	N/A	N/A	N/A	" Aryl halide suspected BOD inhibition effect;Nitroarenes suspected BOD inhibition effect"	In domain	72.73%	0.00%	27.27%	Out of domain	In domain	Out of Domain	 
31	2438-72-4	Bufexamac	CCCCOc1ccc(CC(=O)NO)cc1	basesurface narcotics	no data	113.0658	from 93.711 to 136.418	In domain	36.36%	0.00%	63.64%	Out of domain	47.58%	Out of Domain	 (N/A)	In domain	54.55%	0.00%	45.45%	Out of domain	In domain	Out of Domain	 
32	2180-92-9	Bupivacaine	CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C	basesurface narcotics	no data	10.2958	from  8.672 to 12.223	In domain	68.75%	0.00%	31.25%	Out of domain	51.40%	Out of Domain	" Aromatic amine suspected BOD inhibition effect;Saturated heterocyclic suspected BOD  inhibition effect"	In domain	81.25%	0.00%	18.75%	Out of domain	In domain	Out of Domain	 
33	34911-55-2	Bupropion	CC(C(=O)c1cccc(Cl)c1)NC(C)(C)C	narcotic amines	no data	3.6124	from  2.023 to  6.451	In domain	45.45%	0.00%	54.55%	Out of domain	20.88%	Out of Domain	 Aryl halide suspected BOD inhibition effect	In domain	72.73%	0.00%	27.27%	Out of domain	In domain	Out of Domain	 
34	154361-50-9	Capecitabin	CCCCCOC(=O)NC1C(F)=CN(C{P-}2C{P+}(O)C{P+}(O)C{P-}(C)O2)C(=O)N=1	Reactive unspecified	no data	<=1820.6331	from 1283.443 to 2582.665	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	52.00%	4.00%	44.00%	Out of domain	In domain	Out of Domain	 
35	78-44-4	Carisoprodol	CCCC(C)(COC(N)=O)COC(=O)NC(C)C	Reactive unspecified	no data	<=99.4686	from 87.133 to 113.551	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	83.33%	0.00%	16.67%	Out of domain	In domain	Out of Domain	 
36	57470-78-7	Celiprolol	CCN(CC)C(O)=Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1	Reactive unspecified	no data	<=1433.5045	from 1086.039 to 1892.138	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	63.64%	0.00%	36.36%	Out of domain	In domain	Out of Domain	 
37	17254-80-7	Chloridazon-methyl-desphenyl	CN1C(=O)C(Cl)=C(N)C=N1	Reactive unspecified	no data	<=38577.0586	from 23919.762 to 62215.906	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain	 
38	N/A	Chlorothalonil-4-hydroxy-Carbonsäureamid (TP611968)	N#Cc1c(Cl)c(C#N)c(Cl)c(Cl)c1Cl	Reactive unspecified	no data	<=2.8959*	from  2.149 to  3.902	N/A	N/A	N/A	N/A	N/A	N/A	N/A	" Aryl halide suspected BOD inhibition effect;Nitrile suspected BOD inhibition effect"	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain	belong to training set
39	77-36-1	Chlorthalidon	NS(=O)(=O)c1cc(C2(O)c3ccccc3C(=O)N2)ccc1Cl	Reactive unspecified	no data	<=757.8164	from 555.262 to 1034.260	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Aryl halide suspected BOD inhibition effect	In domain	58.33%	0.00%	41.67%	Out of domain	In domain	Out of Domain	 
40	82009-34-5	Cilastatin	CC1(C)CC{P+}1C(O)=N/C(=C\CCCCSCC{P+}(N)C(O)=O)/C(O)=O	Reactive unspecified	no data	<=1371.9128*	from 1010.895 to 1861.860	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	50.00%	0.00%	50.00%	Out of domain	In domain	Out of Domain	 
41	18323-44-9	Clindamycin	CCCC{P+}1CC{P-}(C(=O)NC(C(C)Cl)C{P+}2C{P+}(O)C{P+}(O)C{P-}(O)C{P-}(SC)O2)N(C)C1	basesurface narcotics	no data	215.9042	from 181.047 to 257.473	Out of domain	62.96%	0.00%	37.04%	Out of domain	53.72%	Out of Domain	 (N/A)	In domain	85.19%	0.00%	14.81%	Out of domain	In domain	Out of Domain	 
42	144457-28-3	Clopidogrel Carbonsäure	OC(=O)C{P+}(c1ccccc1Cl)N1CCC2=C(C1)C=CS2	Reactive unspecified	no data	<=326.9091*	from 257.808 to 414.532	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Aryl halide suspected BOD inhibition effect	In domain	46.67%	0.00%	53.33%	Out of domain	In domain	Out of Domain	 
43	23593-75-1	Clotrimazol	Clc1ccccc1C(c1ccccc1)(c1ccccc1)N1C=CN=C1	Reactive unspecified	no data	<=0.0941*	from  0.065 to  0.136	N/A	N/A	N/A	N/A	N/A	N/A	N/A	" Aryl halide suspected BOD inhibition effect;Unsaturated heterocyclic suspected BOD inhibition effect"	In domain	80.00%	0.00%	20.00%	Out of domain	In domain	Out of Domain	 
44	50-36-2	Cocaine	CN1C{P+}2CCC{P-}1CC{P+}(OC(=O)c1ccccc1)C{P+}2C(=O)OC	Reactive unspecified	no data	<=97.6449	from 80.297 to 118.741	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Saturated heterocyclic suspected BOD  inhibition effect	In domain	82.35%	0.00%	17.65%	Out of domain	In domain	Out of Domain	 
45	50-22-6	Corticosteron	CC{P+}12CCC(=O)C=C1CCC{P+}1C{P+}2C{P-}(O)CC{P-}2(C)C{P-}1CCC{P+}2C(=O)CO	Reactive unspecified	no data	<=172.5818	from 143.256 to 207.911	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	80.00%	0.00%	20.00%	Out of domain	In domain	Out of Domain	 
46	53-06-5	Cortison	CC{P+}12CCC(=O)C=C1CCC{P+}1C{P+}2C(=O)CC{P-}2(C)C{P-}1CCC{P-}2(O)C(=O)CO	Reactive unspecified	no data	<=247.6844	from 203.227 to 301.867	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	76.92%	0.00%	23.08%	Out of domain	In domain	Out of Domain	 
47	50-18-0	Cyclophosphamid	O=P1(N(CCCl)CCCl)NCCCO1	Reactive unspecified	no data	<=1204.8104	from 977.826 to 1484.485	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	35.71%	0.00%	64.29%	Out of domain	In domain	Out of Domain	 
48	101205-02-1	Cycloxydim	CCCC(=C1C(=O)CC(C2CCCSC2)CC1=O)NOCC	Reactive unspecified	no data	<=11.3463	from  9.301 to 13.841	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	54.55%	0.00%	45.45%	Out of domain	In domain	Out of Domain	 
49	147-94-4	Cytarabin	NC1C=CN(C{P-}2C{P-}(O)C{P+}(O)C{P-}(CO)O2)C(=O)N=1	Reactive unspecified	no data	<=455294.1250	from 254909.047 to 813202.688	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	47.06%	52.94%	0.00%	Out of domain	In domain	Out of Domain	 
50	34245-14-2	D617	CC(C)C(CCCNC)(C#N)c1ccc(OC)c(OC)c1	narcotic amines	no data	16.9002	from 10.675 to 26.755	Out of domain	43.75%	0.00%	56.25%	Out of domain	39.64%	Out of Domain	 (N/A)	In domain	87.50%	0.00%	12.50%	Out of domain	In domain	Out of Domain	 
51	206361-99-1	Darunavir	CC(C)CN(CC{P-}(O)C{P+}(Cc1ccccc1)NC(=O)OC{P-}1COC{P+}2C{P-}1CCO2)S(=O)(=O)c1ccc(N)cc1	Reactive unspecified	no data	<=265.8221*	from 210.380 to 335.876	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Alkane, branched tertiary carbon suspected BOD inhibition effect	In domain	75.00%	0.00%	25.00%	Out of domain	In domain	Out of Domain	 
52	201530-41-8	Deferasirox	OC(=O)c1ccc(N2C(=C3C=CC=CC3=O)NC(=C3C=CC=CC3=O)/N2)cc1	Reactive unspecified	no data	<=922.7527	from 615.208 to 1384.040	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	13.04%	0.00%	86.96%	Out of domain	In domain	Out of Domain	 
53	1177-87-3	Dexamethason-21-acetat	CC{P+}1CC{P-}2C{P+}3CCC4=CC(=O)C=CC{P-}4(C)C{P+}3(F)C{P-}(O)CC{P-}2(C)C{P+}1(O)C(=O)COC(C)=O	Reactive unspecified	no data	<=75.5276*	from 61.898 to 92.158	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	67.74%	0.00%	32.26%	Out of domain	In domain	Out of Domain	 
54	85-79-0	Dibucaine	CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1	basesurface narcotics	no data	2.6982	from  2.120 to  3.435	In domain	62.50%	0.00%	37.50%	Out of domain	26.47%	Out of Domain	 Pyridine suspected BOD inhibition effect	In domain	81.25%	0.00%	18.75%	Out of domain	In domain	Out of Domain	 
55	65928-58-7	Dienogest	CC{P+}12CCC3C{P-}(CCC4=CC(=O)CCC=34)C{P+}1CCC{P+}2(O)CC#N	Reactive unspecified	no data	<=66.5595	from 54.024 to 82.003	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Nitrile suspected BOD inhibition effect	In domain	47.83%	0.00%	52.17%	Out of domain	In domain	Out of Domain	 
56	111-96-6	Diglym	COCCOCCOC	basesurface narcotics	no data	18415.4453	from 13415.214 to 25279.400	In domain	100.00%	0.00%	0.00%	In domain	6.11%	In domain	 (N/A)	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain	belong to training set
57	125-28-0	Dihydrocodein	CN1CCC{P-}23C{P-}4CCC{P+}(O)C{P+}2Oc2c3c(CC{P-}14)ccc2OC	narcotic amines	no data	164.4341	from 119.034 to 227.150	Out of domain	41.18%	5.88%	52.94%	Out of domain	89.48%	Out of Domain	 Saturated heterocyclic suspected BOD  inhibition effect	In domain	58.82%	0.00%	41.18%	Out of domain	In domain	Out of Domain	 
58	33286-22-5	Diltiazem	CC(=O)OC{P+}1C{P+}(c2ccc(OC)cc2)Sc2ccccc2N(CCN(C)C)C1=O	esters	no data	15.5299	from  9.457 to 25.503	Out of domain	15.79%	0.00%	84.21%	Out of domain	82.29%	Out of Domain	 (N/A)	In domain	68.42%	0.00%	31.58%	Out of domain	In domain	Out of Domain	 
59	34205-21-5	Dimefuron	CC(C)(C)C1=NN(c2ccc(NC(=O)N(C)C)cc2Cl)C(=O)O1	Reactive unspecified	no data	<=44.7134*	from 36.191 to 55.243	N/A	N/A	N/A	N/A	N/A	N/A	N/A	" Aromatic amine suspected BOD inhibition effect;Aryl halide suspected BOD inhibition effect;Tert-Butyl suspected inhibition effect;Urea derivatives BOD inhibition effect"	In domain	88.89%	0.00%	11.11%	Out of domain	In domain	Out of Domain	 
60	50563-36-5	Dimethachlor	Cc1cccc(C)c1N(CCOC)C(=O)CCl	Reactive unspecified	no data	<=69.3277	from 58.559 to 82.076	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Aromatic amine suspected BOD inhibition effect	In domain	75.00%	0.00%	25.00%	Out of domain	In domain	Out of Domain	 
61	1086384-49-7	Dimethachlor-OXA	Cc1cccc(C)c1N(CCOC)C(=O)C(O)=O	Reactive unspecified	no data	<=1958.8951	from 1463.121 to 2622.661	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Aromatic amine suspected BOD inhibition effect	In domain	46.15%	0.00%	53.85%	Out of domain	In domain	Out of Domain	 
62	3567-62-2	Diuron-desmonomethyl (DCPMU) = 1-(3,4-Dichlorophenyl)-3-methylurea	CNC(=O)Nc1ccc(Cl)c(Cl)c1	basesurface narcotics	no data	37.0953	from 30.236 to 45.510	In domain	25.00%	0.00%	75.00%	Out of domain	35.54%	Out of Domain	" Aromatic amine suspected BOD inhibition effect;Aryl halide suspected BOD inhibition effect;Urea derivatives BOD inhibition effect"	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain	 
63	4710-17-2	DMSA (=N,N-Dimethylaminosulfanilid)	CN(C)S(=O)(=O)Nc1ccccc1	Reactive unspecified	no data	<=375.1514	from 282.608 to 497.999	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain	 
64	74191-85-8	Doxazosin	COc1cc2c(cc1OC)c(N)nc(N1CCN(C(=O)C3COc4ccccc4O3)CC1)n2	Reactive unspecified	no data	<=147.4529*	from 117.487 to 185.061	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Saturated heterocyclic suspected BOD  inhibition effect	In domain	63.16%	0.00%	36.84%	Out of domain	In domain	Out of Domain	 
65	141626-36-0	Dronedaron	CCCCC1=C(C(=O)c2ccc(OCCCN(CCCC)CCCC)cc2)c2cc(NS(C)(=O)=O)ccc2O1	Reactive unspecified	no data	<=0.5381*	from  0.395 to  0.733	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	75.86%	0.00%	24.14%	Out of domain	In domain	Out of Domain	 
66	17692-31-8	Dropropizine	OCC(O)CN1CCN(c2ccccc2)CC1	basesurface narcotics	no data	4569.2554	from 3405.601 to 6130.518	In domain	83.33%	0.00%	16.67%	Out of domain	8.83%	Out of Domain	 Saturated heterocyclic suspected BOD  inhibition effect	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain	 
67	154598-52-4	Efavirenz	O=C1Nc2ccc(Cl)cc2C{P-}(C#CC2CC2)(C(F)(F)F)O1	Reactive unspecified	no data	<=0.7775*	from  0.592 to  1.020	N/A	N/A	N/A	N/A	N/A	N/A	N/A	" Alkyne suspected BOD inhibition effect;Aryl halide suspected BOD inhibition effect"	In domain	56.25%	0.00%	43.75%	Out of domain	In domain	Out of Domain	 
68	143491-57-0	Emtricitabine	NC1C(F)=CN(C{P+}2CSC{P+}(CO)O2)C(=O)N=1	Reactive unspecified	no data	<=492159.1250	from 267414.000 to 905788.813	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	31.25%	6.25%	62.50%	Out of domain	In domain	Out of Domain	 
69	299-42-3	Ephedrin	CC{P-}(C{P+}(O)c1ccccc1)NC	narcotic amines	no data	308.1386	from 224.905 to 422.175	In domain	28.57%	0.00%	71.43%	Out of domain	87.90%	Out of Domain	 (N/A)	In domain	71.43%	0.00%	28.57%	Out of domain	In domain	Out of Domain	 
70	133040-01-4	Eprosartan	CCCCC1=NC=C(/C=C(\CC2=CC=CS2)C(O)=O)N1Cc1ccc(C(O)=O)cc1	Reactive unspecified	no data	<=0.0811*	from  0.056 to  0.118	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Unsaturated heterocyclic suspected BOD inhibition effect	In domain	36.00%	0.00%	64.00%	Out of domain	In domain	Out of Domain	 
71	26244-33-7	Ethofumesat-2-keto	CC1(C)c2cc(OS(C)(=O)=O)ccc2OC1=O	Reactive unspecified	no data	<=891.1054*	from 622.344 to 1275.932	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	66.67%	0.00%	33.33%	Out of domain	In domain	Out of Domain	 
72	41340-25-4	Etodolac	CCc1cccc2c1NC1=C2CCOC1(CC)CC(O)=O	Reactive unspecified	no data	<=3.9430	from  3.227 to  4.818	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	56.25%	0.00%	43.75%	Out of domain	In domain	Out of Domain	 
73	107868-30-4	Exemestan	CC{P+}12CCC{P-}3C{P-}(CC(=C)C4=CC(=O)C=CC{P+}34C)C{P+}1CCC2=O	Reactive unspecified	no data	<=19.4813*	from 15.914 to 23.848	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	50.00%	0.00%	50.00%	Out of domain	In domain	Out of Domain	 
74	79127-80-3	Fenoxycarb	CCOC(=O)NCCOc1ccc(Oc2ccccc2)cc1	Reactive unspecified	no data	<=2.2203	from  1.776 to  2.775	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	91.67%	0.00%	8.33%	Out of domain	In domain	Out of Domain	 
75	67306-03-0	Fenpropimorph	CC(Cc1ccc(C(C)(C)C)cc1)CN1CC(C)OC(C)C1	narcotic amines	no data	0.4072	from  0.179 to  0.926	Out of domain	76.47%	0.00%	23.53%	Out of domain	9.15%	Out of Domain	" Alkane, branched tertiary carbon suspected BOD inhibition effect;Saturated heterocyclic suspected BOD  inhibition effect;Tert-Butyl suspected inhibition effect"	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain	 
