#	Cas#	Chem. Name	Smiles	Quantity	log Kow	Molecular weight	Daphnia magna LC50 48h										
							Daphnia magna-48h LC50 mode of action	Daphnia magna-48h LC50_Observed	Daphnia magna-48h LC50_StructCalcValue_Toxicity mg/l	Daphnia magna-48h LC50_Confidence	Parameter ranges	Correct fragments Structural domain	Incorrect fragments Structural domain	Unknown fragments Structural domain	Total Structural domain	Parametric coverage	Total Domain
37	17254-80-7	Chloridazon-methyl-desphenyl	CN1C(=O)C(Cl)=C(N)C=N1	1.00E-05	-1.3745	159.5704	Reactive unspecified	no data	<=76249.1484	from 35704.777 to 162833.453	N/A	N/A	N/A	N/A	N/A	N/A	N/A
38	N/A	Chlorothalonil-4-hydroxy-Carbonsäureamid (TP611968)	N#Cc1c(Cl)c(C#N)c(Cl)c(Cl)c1Cl	0.9626	3.665	265.906	Reactive unspecified	0.164	<=2.6320*	from  1.794 to  3.861	N/A	N/A	N/A	N/A	N/A	N/A	N/A
39	77-36-1	Chlorthalidon	NS(=O)(=O)c1cc(C2(O)c3ccccc3C(=O)N2)ccc1Cl	0.3774	1.0062	338.7539	Reactive unspecified	no data	<=990.2860	from 604.688 to 1621.773	N/A	N/A	N/A	N/A	N/A	N/A	N/A
40	82009-34-5	Cilastatin	CC1(C)CC{P+}1C(O)=N/C(=C\CCCCSCC{P+}(N)C(O)=O)/C(O)=O	1.00E-05	0.7808	358.4384	Reactive unspecified	no data	<=1867.3511*	from 1175.503 to 2966.391	N/A	N/A	N/A	N/A	N/A	N/A	N/A
41	18323-44-9	Clindamycin	CCCC{P+}1CC{P-}(C(=O)NC(C(C)Cl)C{P+}2C{P+}(O)C{P+}(O)C{P-}(O)C{P-}(SC)O2)N(C)C1	0.006678	2.0072	424.9667	basesurface narcotics	no data	189.5267	from 144.122 to 249.236	Out of domain	33.33%	0.00%	66.67%	Out of domain	48.67%	Out of Domain
42	144457-28-3	Clopidogrel Carbonsäure	OC(=O)C{P+}(c1ccccc1Cl)N1CCC2=C(C1)C=CS2	0.6531	1.5108	307.7826	Reactive unspecified	no data	<=372.1466*	from 264.420 to 523.762	N/A	N/A	N/A	N/A	N/A	N/A	N/A
43	23593-75-1	Clotrimazol	Clc1ccccc1C(c1ccccc1)(c1ccccc1)N1C=CN=C1	0.5521	6.2627	344.8213	Reactive unspecified	no data	<=0.0380*	from  0.023 to  0.063	N/A	N/A	N/A	N/A	N/A	N/A	N/A
44	50-36-2	Cocaine	CN1C{P+}2CCC{P-}1CC{P+}(OC(=O)c1ccccc1)C{P+}2C(=O)OC	0.0108	2.1695	303.3389	Reactive unspecified	no data	<=86.2758	from 63.294 to 117.603	N/A	N/A	N/A	N/A	N/A	N/A	N/A
45	50-22-6	Corticosteron	CC{P+}12CCC(=O)C=C1CCC{P+}1C{P+}2C{P-}(O)CC{P-}2(C)C{P-}1CCC{P+}2C(=O)CO	1.00E-05	1.9876	346.443	Reactive unspecified	no data	<=160.6154	from 121.820 to 211.765	N/A	N/A	N/A	N/A	N/A	N/A	N/A
46	53-06-5	Cortison	CC{P+}12CCC(=O)C=C1CCC{P+}1C{P+}2C(=O)CC{P-}2(C)C{P-}1CCC{P-}2(O)C(=O)CO	1.00E-05	1.808	360.4262	Reactive unspecified	no data	<=236.6008	from 174.405 to 320.977	N/A	N/A	N/A	N/A	N/A	N/A	N/A
47	50-18-0	Cyclophosphamid	O=P1(N(CCCl)CCCl)NCCCO1	0.8925	0.9736	261.0805	Reactive unspecified	no data	<=1144.5007	from 805.006 to 1627.170	N/A	N/A	N/A	N/A	N/A	N/A	N/A
48	101205-02-1	Cycloxydim	CCCC(=C1C(=O)CC(C2CCCSC2)CC1=O)NOCC	1.00E-05	3.3133	325.4513	Reactive unspecified	no data	<=8.4438	from  6.512 to 10.949	N/A	N/A	N/A	N/A	N/A	N/A	N/A
49	147-94-4	Cytarabin	NC1C=CN(C{P-}2C{P-}(O)C{P+}(O)C{P-}(CO)O2)C(=O)N=1	1.00E-05	-2.4567	243.2087	Reactive unspecified	no data	<=1117085.6250*	from 445705.969 to 2799783.750	N/A	N/A	N/A	N/A	N/A	N/A	N/A
50	34245-14-2	D617	CC(C)C(CCCNC)(C#N)c1ccc(OC)c(OC)c1	0.0004148	2.9642	290.3874	Reactive unspecified	no data	<=17.3921	from 13.892 to 21.774	N/A	N/A	N/A	N/A	N/A	N/A	N/A
51	206361-99-1	Darunavir	CC(C)CN(CC{P-}(O)C{P+}(Cc1ccccc1)NC(=O)OC{P-}1COC{P+}2C{P-}1CCO2)S(=O)(=O)c1ccc(N)cc1	1.00E-10	1.8812	547.6403	Reactive unspecified	no data	<=271.9262*	from 189.344 to 390.526	N/A	N/A	N/A	N/A	N/A	N/A	N/A
52	201530-41-8	Deferasirox	OC(=O)c1ccc(N2C(=C3C=CC=CC3=O)NC(=C3C=CC=CC3=O)/N2)cc1	9.99E-16	0.7588	373.3456	Reactive unspecified	no data	<=1570.1420	from 845.006 to 2917.547	N/A	N/A	N/A	N/A	N/A	N/A	N/A
53	1177-87-3	Dexamethason-21-acetat	CC{P+}1CC{P-}2C{P+}3CCC4=CC(=O)C=CC{P-}4(C)C{P+}3(F)C{P-}(O)CC{P-}2(C)C{P+}1(O)C(=O)COC(C)=O	1.00E-10	2.4623	434.4769	Reactive unspecified	no data	<=67.7638*	from 51.145 to 89.782	N/A	N/A	N/A	N/A	N/A	N/A	N/A
54	85-79-0	Dibucaine	CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1	0.1585	4.0421	343.4482	basesurface narcotics	no data	1.8524	from  1.372 to  2.501	Out of domain	37.50%	0.00%	62.50%	Out of domain	47.42%	Out of Domain
55	65928-58-7	Dienogest	CC{P+}12CCC3C{P-}(CCC4=CC(=O)CCC=34)C{P+}1CCC{P+}2(O)CC#N	9.44E-05	2.3356	311.4025	Reactive unspecified	no data	<=63.1522	from 47.179 to 84.534	N/A	N/A	N/A	N/A	N/A	N/A	N/A
56	111-96-6	Diglym	COCCOCCOC	0.9955	-0.4818	134.1676	basesurface narcotics	no data	16885.4023	from 10013.479 to 28473.309	In domain	77.78%	0.00%	22.22%	Out of domain	5.20%	Out of Domain
57	125-28-0	Dihydrocodein	CN1CCC{P-}23C{P-}4CCC{P+}(O)C{P+}2Oc2c3c(CC{P-}14)ccc2OC	1.00E-05	1.4916	301.3657	Reactive unspecified	no data	<=403.6965*	from 293.468 to 555.328	N/A	N/A	N/A	N/A	N/A	N/A	N/A
58	33286-22-5	Diltiazem	CC(=O)OC{P+}1C{P+}(c2ccc(OC)cc2)Sc2ccccc2N(CCN(C)C)C1=O	0.003183	2.7946	414.4994	esters	no data	52.8954*	from 12.410 to 225.454	Out of domain	15.79%	0.00%	84.21%	Out of domain	60.93%	Out of Domain
59	34205-21-5	Dimefuron	CC(C)(C)C1=NN(c2ccc(NC(=O)N(C)C)cc2Cl)C(=O)O1	0.2919	2.5686	338.7781	Reactive unspecified	no data	<=41.7671*	from 31.531 to 55.327	N/A	N/A	N/A	N/A	N/A	N/A	N/A
60	50563-36-5	Dimethachlor	Cc1cccc(C)c1N(CCOC)C(=O)CCl	0.0001062	2.3272	255.7302	basesurface narcotics	no data	57.936	from 45.069 to 74.477	In domain	41.67%	0.00%	58.33%	Out of domain	61.09%	Out of Domain
61	1086384-49-7	Dimethachlor-OXA	Cc1cccc(C)c1N(CCOC)C(=O)C(O)=O	0.1062	0.5101	251.2673	Reactive unspecified	no data	<=2468.6272	from 1548.495 to 3935.510	N/A	N/A	N/A	N/A	N/A	N/A	N/A
62	3567-62-2	"Diuron-desmonomethyl (DCPMU) = 1-(3,4-Dichlorophenyl)-3-methylurea"	CNC(=O)Nc1ccc(Cl)c(Cl)c1	0.9359	2.4614	219.0622	basesurface narcotics	no data	33.6179	from 25.136 to 44.962	In domain	50.00%	0.00%	50.00%	Out of domain	56.21%	Out of Domain
63	4710-17-2	"DMSA (=N,N-Dimethylaminosulfanilid)"	CN(C)S(=O)(=O)Nc1ccccc1	0.7434	1.1483	200.2508	Reactive unspecified	no data	<=461.8705	from 297.033 to 718.185	N/A	N/A	N/A	N/A	N/A	N/A	N/A
64	74191-85-8	Doxazosin	COc1cc2c(cc1OC)c(N)nc(N1CCN(C(=O)C3COc4ccccc4O3)CC1)n2	0.01097	2.0853	451.4575	Reactive unspecified	no data	<=145.4550*	from 102.913 to 205.584	N/A	N/A	N/A	N/A	N/A	N/A	N/A
65	141626-36-0	Dronedaron	CCCCC1=C(C(=O)c2ccc(OCCCN(CCCC)CCCC)cc2)c2cc(NS(C)(=O)=O)ccc2O1	1.00E-05	8.1244	556.7306	Reactive unspecified	no data	<=0.2941*	from  0.198 to  0.436	N/A	N/A	N/A	N/A	N/A	N/A	N/A
66	17692-31-8	Dropropizine	OCC(O)CN1CCN(c2ccccc2)CC1	1.00E-05	0.1409	236.3	basesurface narcotics	no data	5476.2065	from 3376.820 to 8880.793	In domain	25.00%	0.00%	75.00%	Out of domain	Out of domain	Out of Domain
67	154598-52-4	Efavirenz	O=C1Nc2ccc(Cl)cc2C{P-}(C#CC2CC2)(C(F)(F)F)O1	0.7913	4.6898	315.663	Reactive unspecified	no data	<=0.4587*	from  0.326 to  0.646	N/A	N/A	N/A	N/A	N/A	N/A	N/A
68	143491-57-0	Emtricitabine	NC1C(F)=CN(C{P+}2CSC{P+}(CO)O2)C(=O)N=1	1.00E-05	-2.564	247.239	Reactive unspecified	no data	<=1337716.2500*	from 511357.625 to 3499477.750	N/A	N/A	N/A	N/A	N/A	N/A	N/A
69	299-42-3	Ephedrin	CC{P-}(C{P+}(O)c1ccccc1)NC	0.1135	0.683	165.2245	Reactive unspecified	no data	<=1212.4594	from 800.206 to 1837.098	N/A	N/A	N/A	N/A	N/A	N/A	N/A
70	133040-01-4	Eprosartan	CCCCC1=NC=C(/C=C(\CC2=CC=CS2)C(O)=O)N1Cc1ccc(C(O)=O)cc1	0.000588	6.3687	424.4936	Reactive unspecified	no data	<=0.0368*	from  0.022 to  0.060	N/A	N/A	N/A	N/A	N/A	N/A	N/A
71	26244-33-7	Ethofumesat-2-keto	CC1(C)c2cc(OS(C)(=O)=O)ccc2OC1=O	0.006672	0.7029	256.2638	Reactive unspecified	no data	<=1359.4406*	from 781.518 to 2364.730	N/A	N/A	N/A	N/A	N/A	N/A	N/A
72	41340-25-4	Etodolac	CCc1cccc2c1NC1=C2CCOC1(CC)CC(O)=O	0.1941	3.9264	287.3399	Reactive unspecified	no data	<=2.2222	from  1.705 to  2.896	N/A	N/A	N/A	N/A	N/A	N/A	N/A
73	107868-30-4	Exemestan	CC{P+}12CCC{P-}3C{P-}(CC(=C)C4=CC(=O)C=CC{P+}34C)C{P+}1CCC2=O	1.00E-10	2.9537	296.3876	Reactive unspecified	no data	<=16.1619*	from 12.352 to 21.147	N/A	N/A	N/A	N/A	N/A	N/A	N/A
74	79127-80-3	Fenoxycarb	CCOC(=O)NCCOc1ccc(Oc2ccccc2)cc1	0.3889	4.2356	301.3231	Reactive unspecified	no data	<=1.2827	from  0.959 to  1.715	N/A	N/A	N/A	N/A	N/A	N/A	N/A
75	67306-03-0	Fenpropimorph	CC(Cc1ccc(C(C)(C)C)cc1)CN1CC(C)OC(C)C1	0.7908	5.5041	303.4667	Reactive unspecified	no data	<=0.1133	from  0.071 to  0.180	N/A	N/A	N/A	N/A	N/A	N/A	N/A
76	120067-83-6	Fipronil-sulfid	NC1=C(SC(F)(F)F)C(C#N)=NN1c1c(Cl)cc(C(F)(F)F)cc1Cl	0.9503	4.8215	421.1376	Reactive unspecified	no data	<=0.3826*	from  0.253 to  0.578	N/A	N/A	N/A	N/A	N/A	N/A	N/A
77	120068-36-2	Fipronil-sulfon	NC1=C(S(=O)(=O)C(F)(F)F)C(C#N)=NN1c1c(Cl)cc(C(F)(F)F)cc1Cl	0.9503	4.4195	453.1356	Reactive unspecified	no data	<=0.8857	from  0.580 to  1.354	N/A	N/A	N/A	N/A	N/A	N/A	N/A
78	54143-55-4	Flecainid	O=C(c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F)NCC1CCCCN1	0.04582	3.9528	414.3269	basesurface narcotics	no data	2.6594	from  1.969 to  3.591	Out of domain	13.04%	0.00%	86.96%	Out of domain	39.38%	Out of Domain
79	86386-73-4	Fluconazol	OC(CN1C=NC=N1)(CN1C=NC=N1)c1ccc(F)cc1F	0.9389	0.2538	306.2618	Reactive unspecified	no data	<=4466.9429	from 2525.349 to 7901.315	N/A	N/A	N/A	N/A	N/A	N/A	N/A
80	514-36-3	Fludrocortison	CC(=O)OCC(=O)C{P-}1(O)CCC{P-}2C{P+}3CCC4=CC(=O)CCC{P-}4(C)C{P+}3(F)C{P-}(O)CC{P+}12C	0.0001022	2.2597	422.4669	Reactive unspecified	no data	<=107.9624*	from 82.920 to 140.568	N/A	N/A	N/A	N/A	N/A	N/A	N/A
81	142459-58-3	Flufenacet	CC(C)N(C(=O)COC1=NN=C(C(F)(F)F)S1)c1ccc(F)cc1	0.3705	2.3949	363.3178	Reactive unspecified	no data	<=52.1023	from 34.062 to 79.697	N/A	N/A	N/A	N/A	N/A	N/A	N/A
82	201668-31-7	Flufenacet-OXA	CC(C)N(c1ccc(F)cc1)C(=O)C(O)=O	0.3729	0.799	225.2068	Reactive unspecified	no data	<=1143.2141	from 725.740 to 1800.835	N/A	N/A	N/A	N/A	N/A	N/A	N/A
83	530-78-9	Flufenaminsäure	OC(=O)c1ccccc1Nc1cccc(C(F)(F)F)c1	0.09505	5.1468	281.218	Reactive unspecified	no data	<=0.1628	from  0.110 to  0.240	N/A	N/A	N/A	N/A	N/A	N/A	N/A
84	54910-89-3	Fluoxetin	CNCCC(c1ccccc1)Oc1ccc(C(F)(F)F)cc1	0.01273	4.6483	309.3122	Reactive unspecified	no data	<=0.5162	from  0.370 to  0.720	N/A	N/A	N/A	N/A	N/A	N/A	N/A
85	85509-19-9	Flusilazol	C[Si](CN1C=NC=N1)(c1ccc(F)cc1)c1ccc(F)cc1	0.9049	4.8856	315.3815	Reactive unspecified	no data	<=0.3271	from  0.229 to  0.468	N/A	N/A	N/A	N/A	N/A	N/A	N/A
86	93957-54-1	Fluvastatin	CC(C)N1c2ccccc2C(c2ccc(F)cc2)=C1/C=C/C{P-}(O)CC{P+}(O)CC(O)=O	1.00E-05	4.8471	411.4464	Reactive unspecified	no data	<=0.4399	from  0.308 to  0.628	N/A	N/A	N/A	N/A	N/A	N/A	N/A
87	98048-97-6	Fosinopril	CCC(=O)OC(C(C)C)OP(=O)(CCCCc1ccccc1)CC(=O)N1CC{P+}(C2CCCCC2)CC{P-}1C(O)=O	0.001949	6.6095	563.6374	Reactive unspecified	no data	<=0.0569	from  0.033 to  0.097	N/A	N/A	N/A	N/A	N/A	N/A	N/A
88	54-31-9	Furosemid	NS(=O)(=O)c1cc(C(O)=O)c(NCC2=CC=CO2)cc1Cl	0.0854	2.3151	330.7329	Reactive unspecified	no data	<=62.1842	from 43.297 to 89.311	N/A	N/A	N/A	N/A	N/A	N/A	N/A
89	256393-37-0	Galaxolidon	CC1COC(=O)c2cc3c(cc12)C(C)(C)C(C)C3(C)C	0.09549	5.2561	272.3676	esters	no data	2.3434*	from  0.068 to 81.304	Out of domain	13.33%	0.00%	86.67%	Out of domain	40.91%	Out of Domain
90	125-29-1	Hydrocodone	CN1CCC{P-}23C{P-}4CCC(=O)C{P+}2Oc2c3c(CC{P-}14)ccc2OC	0.1429	2.1644	299.3499	Reactive unspecified	no data	<=97.7053*	from 75.722 to 126.071	N/A	N/A	N/A	N/A	N/A	N/A	N/A
91	50-23-7	Hydrocortison	CC{P+}12CCC(=O)C=C1CCC{P+}1C{P+}2C{P-}(O)CC{P-}2(C)C{P-}1CCC{P-}2(O)C(=O)CO	1.00E-05	1.615	362.442	Reactive unspecified	no data	<=354.8046*	from 255.804 to 492.119	N/A	N/A	N/A	N/A	N/A	N/A	N/A
92	3778-73-2	Ifosfamid	O=P1(NCCCl)N(CCCl)CCCO1	0.3385	0.9736	261.0805	Reactive unspecified	no data	<=1158.9279	from 817.130 to 1643.696	N/A	N/A	N/A	N/A	N/A	N/A	N/A
93	115970-17-7	Imidacloprid-desnitro	O=N(=O)NC1=NCCN1Cc1ccc(Cl)nc1	0.3874	-0.4147	255.655	Reactive unspecified	no data	<=15119.1797	from 7808.518 to 29274.389	N/A	N/A	N/A	N/A	N/A	N/A	N/A
94	120868-66-8	Imidacloprid-urea	OC1=NCCN1Cc1ccc(Cl)nc1	0.3874	0.6527	211.642	Reactive unspecified	no data	<=1452.7838	from 902.987 to 2337.333	N/A	N/A	N/A	N/A	N/A	N/A	N/A
95	256-96-2	Iminostilben	C1=Cc2ccccc2Nc2ccccc12	0.6284	4.0585	193.2339	basesurface narcotics	no data	1.1297	from  0.858 to  1.488	In domain	0.00%	0.00%	100.00%	Out of domain	91.72%	Out of Domain
96	53-86-1	Indomethacin	CC1=C(CC(O)=O)c2cc(OC)ccc2N1C(=O)c1ccc(Cl)cc1	1.00E-05	4.2269	357.7725	Reactive unspecified	no data	<=1.2684*	from  0.918 to  1.752	N/A	N/A	N/A	N/A	N/A	N/A	N/A
97	140923-17-7	Iprovalicarb	CC(C)C{P-}(C(O)=NC(C)c1ccc(C)cc1)N=C(O)OC(C)C	1.00E-10	4.9976	320.4122	Reactive unspecified	no data	<=0.3015	from  0.205 to  0.443	N/A	N/A	N/A	N/A	N/A	N/A	N/A
98	N/A	Irgarol-descyclopropyl	CC(C)(C)Nc1nc(N)nc(SC)n1	0.2629	2.7304	213.2975	Reactive unspecified	no data	<=21.4139	from 17.141 to 26.751	N/A	N/A	N/A	N/A	N/A	N/A	N/A
