CAS Number	Chemical name(s)	SMILES	Primary Half Life by Kn (days)	Ultimate Half Life Predicted se	Molecular Weight [Da]	Mean Melting Point  [C]	Vapor Pressure (Antoine method) [Pa]	Water Solubility [mol/m3] 	Ka Half-Life (pH 7) [hours] 	Kb half-life (pH 7) [hours]	log Kow 	Boiling Point degC	Tb [C]	Tm [C] ChemProp Fragment model	Tm [C] ChemProp Read-across model	Vp 25 [Pa]	log Sw [mol/L] ChemProp	log Sw [mol/L] ACD 	pKa1	pKa2	pKb1	pKb2	HL hyd acid pH 7 [h]	HL hyd base pH 7 [h]	HL hyd neutral [h]	HL hyd total pH 7 [h]	HL sed [h]	HL soil [h]	HL water [h]	log Kow ChemProp Consensus model (fragments)	log Kow ChemProp Read-across	log Kow ACD Fragments	log Kow ACD Similarity based	log Kow ACD Consensus	log Kaw ChemProp	log Koa ChemProp	Dhaw [kJ/mole] 	Water Solubility [mol/L] EPI-Suite	Water Solubility [mol/L] ChemProp	Water Solubility [mol/L] ACD/Percepta	Water Solubility [mg/L] EPI-Suite	Water Solubility [mg/L] ChemProp	Water Solubility [mg/L] ACD/Percepta
139-13-9	nitrilotriacetic acid	OC(=O)CN(CC(O)=O)CC(O)=O	3650	3y 2m 23d	191.13	349.84	1.10E-07	3865.9			-3.81	429.28	369	252		1.29E-05	-0.83715	-0.7	1.49	2.27	3.7						1700	550	170	-1.6784		-1.76	-1.15	-1.41	-39.55	29.658	140.76	5.316546763	0.200071942	0.2743701	739000	27810	38137.4439
143-24-8	bis(2-(2-methoxyethoxy)ethyl) ether	COCCOCCOCCOCCOC	3650	9.82 days	222	40.4	1.11	1140			-1.03		263	5	-43	3.0126	-0.0026846	-0.28									1700	170	170	0.4616	-0.050073	-1.51	0.06	-0.33	-7.6893	7.2989	123.82	1.827338129	1.589928058	0.839238863	254000	221000	116654.202
144-83-2	sulfapyridine	Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1	3650	5y 1m 19d	249	241	0.000000737	48.1			0.53		427	152	192	8.54E-07	-1.996	-2.87	8.78		10.95	12.73					1700	170	170	1.0043	0.35	0.03	0.66	0.47	-11.127	12.092	124.91	0.086330935	0.018102158	0.002419302	12000	2516.2	336.282957
15307-79-6	sodium [2-[(2,6-dichlorophenyl)amino]phenyl]acetate	O=C(Cc1ccccc1Nc1c(Cl)cccc1Cl)O{-}.[Na]{+}	1.20412	more than 10 years	318	299	1.75E-16	7.62			0.57		377.4	76.285		0.000384	-2.8311	-4.25	4.35								17000	5500	1700	4.087		4.06	4.61	4.48	-6.0169	10.106		0.017482014	0	0.000128707	2430		17.8903269
15307-86-5	diclofenac	OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl	3650	more than 10 years	296	236	0.00000107	0.0153			4.02		411	147	215	6.36E-06	-4.2574	-4.25	4.35								1700	1700	170	4.0884	4.856	4.06	4.61	4.48	-8.1674	12.932	102.61	3.2518E-05	0.000117784	0.000119811	4.52	16.372	16.6537383
15545-48-9	Chlorotoluron	Cc1ccc(NC(=O)N(C)C)cc1Cl	32.57311	2y 6m 26d	213	148	0.000573	1.55			2.58		340	132	148	0.0013849	-2.9599	-2.96	13.97		14.97						5500	1700	550	2.3217	2.41	2.46	2.48	2.48	-7.9444	10.154	82.012	0.002366906	0.001678058	0.001677691	329	233.25	233.198983
1634-04-4	tert-butyl methyl ether	CC(C)(C)OC	3650	4y 9m 19d	88.1	-94.3	34000	225			1.43		49	-95	-109	41955	-0.17195	-1.02									1700	550	550	1.4384	0.94	1.15	1.4	1.33	-1.2405	2.1534	49.755	0.142446043	0.426107914	0.060563019	19800	59229	8418.25965
1689-84-5	Bromoxynil	N#Cc1cc(Br)c(O)c(Br)c1	3650	1y 3m 13d	277	161	0.000176	0.158			3.39		329	143	190	0.00060691	-3.3647	-3.04	4.2								170	55	17	2.8802	2.8	2.95	3.19	3.14	-5.7828	9.7993	78.375	0.000315827	0.000860216	0.001817001	43.9	119.57	252.563162
1698-60-8	Chloridazon	NC1C=NN(c2ccccc2)C(=O)C=1Cl	1.20412	5m 3d	222	223	0.0000441	34.3			0.76		276	169	205	0.022316	-3.347	-3.03			10.71						550	170	170	1.4279	1.19	0.73	0.96	0.92	-8.8279	9.9499	100.68	0.054748201	0.000717158	0.001488171	7610	99.685	206.855816
188425-85-6	Boscalid	O=C(c1cccnc1Cl)Nc1ccccc1-c1ccc(Cl)cc1	3650	3m 5d	343	270	6.63E-11	0.0588			4		456	219		3.28E-08	-7.8139	-5.09	13.3		14.8						5500	5500	1700	4.6935	2.96	4.31	4.82	4.69	-12.173	14.354	111.26	0.000145324	3.79022E-08	2.00699E-05	20.2	0.0052684	2.78971561
1912-24-9	atrazine	CCNc1nc(NC(C)C)nc(Cl)n1	3650	more than 10 years	215.68	293.08	0.0026664	0.99268			2.82	313.03	339	104	173	0.0028141	-4.1607	-3.82			11.73	16.56					1700	1700	1700	2.412	2.61	2.63	2.67	2.66	-11.171	14.781	138.56	0.001539568	0.000106835	0.000234863	214	14.85	32.6460026
22071-15-4	Ketoprofen	CC(c1cccc(C(=O)c2ccccc2)c1)C(O)=O	3650	6y 0m 11d	254	190	0.0000387	0.474			3		396	96	94	6.16E-05	-4.2906	-3.31	4.07								1700	550	170	3.0468	3.12	2.81	3.27	3.12	-10.032	12.655	90.799	0.000863309	9.35899E-05	0.000896013	120	13.009	124.545856
25057-89-0	Bentazone	CC(C)N1C(=O)c2ccccc2NS1(=O)=O	3650	1m 13d	240	239	0.00000533	1.12			1.67		250		138		-1.9258	-2.2	2.9								1700	550	170	1.1388	2.34	2.8	1.68	2.04	-9.1222	7.7092	82.395	0.001935252	0.020508633	0.010906937	269	2850.7	1516.06431
2642-71-9	Azinphos-ethyl	CCOP(=S)(OCC)SCN1C(=O)c2ccccc2N=N1	31.2959	2y 2m 12d	345	120	0.000000227	0.0239		348000	3.51		435		53		-5.1382	-4.76			14.4		2.60E+05	1.01E+05	1594.1	1559.9	1700	170	170	4.0045	3.4	3.61	3.57	3.58	-6.3749	9.2638		5.93525E-05	1.80748E-05	4.318E-05	8.25	2.5124	6.0020165
27203-92-5	Tramadol	CN(C)CC{P-}1CCCCC{P-}1(O)c1cccc(OC)c1	3650	7m 10d	263	136	0.0000221	4.37			3.01		327	88		0.020697	-2.2684	-2.06	14.2		4.76						550	170	170	2.5234	2.57	2.51	2.55	2.54	-5.4605	8.6277	112.78	0.008273381	0.010213669	0.016503194	1150	1419.7	2293.9439
27503-81-7	2-phenyl-1H-benzimidazole-5-sulphonic acid	OS(=O)(=O)c1ccc2c(c1)N=C(c1ccccc1)N2	3650	more than 10 years	274	283	2.08E-16	86.1			-0.16		448	187		5.01E-07	-2.3751	-2.77	-0.41	10.5	9.03						5500	5500	550	1.3749		1.5	0.04	0.54	-13.136	16.098	113.81	0.169784173	0.008320144	0.003351282	23600	1156.5	465.828234
288-13-1	pyrazole	C1=CC=NN1	3650	19.84 days	68.08	10.53	39.33	1197.8			0.06	175.67	246	70	68	2.985	0.78915	0.12	14		11.17			9.65E+07	1.03E+07	9.34E+06	5500	1700	550	0.26592	0.26	0.32	0.48	0.43	-0.7955	2.5502	65.491	0.586330935	3.014388489	0.64567077	81500	419000	89748.237
29122-68-7	Atenolol	CC(C)NCC(O)COc1ccc(CC(N)=O)cc1	3650	27.63 days	266	246	5.76E-09	2.57			-0.03		397	204	147	1.03E-07	-1.2455	-0.95	13.81	14.75	4.51	14.75					1700	550	170	0.57238	0.19	0.1	0.29	0.24	-15.675	14.778	156.88	0.004928058	0.108877698	0.214991651	685	15134	29883.8395
298-46-4	Karbamazepin	NC(=O)N1c2ccccc2C=Cc2ccccc12	3650	10m 16d	236	217	0.00000204	0.0747			2.25		409	211	190	7.70E-07	-4.2086	-3.5	14.3		13.9						5500	1700	550	2.5199	2.45	2.67	2.17	2.28	-9.6331	14.702	87.755	0.000127338	0.000105014	0.000537542	17.7	14.597	74.7182966
330-54-1	diuron	CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1	1278.55652	2y 5m 8d	233.09	226.69	0.00027464	0.64611			2.67	353.86	347	138	158	0.0007494	-3.5627	-3.66	13.55		15.09	16.48					5500	1700	550	2.5385	2.875	2.78	2.73	2.75	-6.8928	8.6992	82.51	0.001086331	0.000456899	0.000366883	151	63.509	50.9967235
333-41-5	Diazinon	CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1	22.0263	1y 6m 12d	304	87.6	0.00271	0.0212		1562400	3.86		-273				-4.8918	-3.75			12.4		93352	3.75E+05	1537.9	1506.9	1700	550	550	4.0657	3.81	3.81	3.79	3.8	-4.2272	8.5919		4.64748E-05	2.80921E-05	0.000389366	6.46	3.9048	54.1219338
3380-34-5	triclosan	Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl	3650	9y 3m 1d	289.53	265.95	0.00018798	1.60E-02			4.66	373.62	357	128	54	0.00011642	-4.99	-4.91	7.8								17000	5500	170	4.8535	4.76	5.17	5.3	5.27	-1.8599	5.2411	54.77	3.32374E-05	2.13144E-05	2.56276E-05	4.62	2.9627	3.56224323
34123-59-6	Isoproturon	CC(C)c1ccc(NC(=O)N(C)C)cc1	32.57311	2y 0m 15d	206	130	0.000525	0.697			2.84		341	134	158	0.0012777	-3.4247	-2.72	14.3		13.9						5500	1700	550	2.4373	2.5	2.32	2.51	2.45	-7.4815	10.082	87.162	0.001035971	0.000557345	0.002827896	144	77.471	393.077492
37350-58-6	Metoprolol	CC(C)NCC(O)COc1ccc(CCOC)cc1	3650	1m 0d	267	125	0.0000125	17.9			1.69		350	88	78	9.10E-05	-1.518	-1.41	13.89		4.5						1700	550	550	1.8657	1.88	1.79	1.88	1.85	-9.611	10.416	131.75	0.034388489	0.058353957	0.074833813	4780	8111.2	10401.9
3930-20-9	Sotalol	CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1	3650	1m 25d	272	201	2.31E-08	20.2			0.37		409	156	207	7.03E-08	-0.83346	0.45	8.28	15.44	3.95						5500	1700	550	0.76652		0.32	0.28	0.29	-13.657	12.077	146.14	0.039640288	0.287532374	5.522611216	5510	39967	767642.959
4065-45-6	sulisobenzone	COc1cc(O)c(C(=O)c2ccccc2)cc1S(O)(=O)=O	3650	7m 0d	308	263	1.24E-11	65.8			0.37		476	190	145	1.22E-09	-2.9907	-0.6	0.88	8.69							1700	550	170	1.4426		0.89	0.87	0.88	-10.785	14.082	104.14	0.146043165	0.002266187	0.557150868	20300	315	77443.9706
41859-67-0	Bezafibrat	CC(C)(C(O)=O)Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1	3650	2m 26d	362	275	2.73E-11	0.00338			4.25		461	184	186	4.92E-08	-5.7457	-4.11	3.99	14.57	14.95						1700	170	170	3.8234		3.46	3.5	3.48	-16.412	16.885	128.26	8.77698E-06	4.67482E-06	0.000202064	1.22	0.6498	28.0869494
50-27-1	Estriol	CC{P+}12CCC{P-}3C{P-}(CCc4cc(O)ccc34)C{P+}1CC{P-}(O)C{P+}2O	3650	2m 17d	288	244	7.69E-11	1.53			2.81		387	163	286	5.43E-06	-3.754	-4.36	10	15							1700	550	170	2.6936	2.45	2.94	2.6	2.71	-12.512	15.722	138.56	0.003172662	0.00036559	9.0566E-05	441	50.817	12.5886801
50-28-2	estradiol	CC12CCC3C(CCc4cc(O)ccc34)C1CCC2O	3650	2m 13d	272.37	293.14	4.52E-08	0.30095			3.94	395.47	362	132	200	7.23E-05	-4.4903	-4.56	10.27	15.09							550	170	170	3.6008	4.01	4.13	3.37	3.62	-6.2326	7.6511	105.79	0.000589928	6.33676E-05	5.3973E-05	82	8.8081	7.50224357
51218-45-2	Metolachlor	CCc1cccc(C)c1N(C(C)COC)C(=O)CCl	3650	3m 27d	284	149	0.597	0.179			3.24		337	120	-51	0.0035757	-3.107	-2.95			15.49						5500	1700	550	3.4009	2.9	3	3.28	3.22	-5.4312	10.001	95.145	0.000366187	0.001595827	0.002290855	50.9	221.82	318.428837
51-28-5	2,4-dinitrophenol	Oc1ccc(N(=O)=O)cc1N(=O)=O	3650	more than 10 years	184.10	233.03	0.00094526	10.706			1.73	332.13	327	129	115	0.00098831	-1.9357	-2.04	4.04								5500	1700	170	0.69977	1.91	1.74	1.62	1.66	-10.364	8.8366	39.207	0.014172662	0.015359712	0.012079879	1970	2135	1679.10316
520-85-4	Medroxiprogesteron	CC{P-}1CC{P+}2C{P+}(CCC{P-}3(C)C{P-}2CCC{P-}3(O)C(C)=O)C{P-}2(C)CCC(=O)C=C12	3650	28.89 days	344	244	1.72E-09	0.0645			3.5		398	163	215		-3.9772	-4.6	13.86								5500	1700	550	3.2497	2.9857	3.38	3.58	3.52	-9.989	14.975	119.61	0.000159712	0.000261201	6.2255E-05	22.2	36.307	8.65344876
525-66-6	Propranolol	CC(C)NCC(O)COc1cccc2ccccc12	3650	2m 19d	259	143	0.0000026	0.879			2.6		373	110	96	0.00068497	-2.3878	-2.37	13.9		4.5						5500	1700	170	2.6976	2.98	3.1	3.32	3.26	-8.2764	10.951	117.05	0.001640288	0.007639568	0.007959237	228	1061.9	1106.33398
52888-80-9	Prosulfocarb	CCCN(CCC)C(=O)SCc1ccccc1	10.00902	1m 8d	251	125	3.25E-11	4970			4.23		343	118	75	8316.8	-4.2519	-4.19			14.6						5500	550	550	3.7679	4.65	3.99	4.14	4.1	-4.8244	8.8964	51.497	1.78417E-05	0.000101259	0.000116771	2.48	14.075	16.2311017
53-16-7	estrone	CC12CCC3C(CCc4cc(O)ccc34)C1CCC2=O	3650	2m 19d	270.35	304.78	0.82127	0.543			3.43	391.87	363	122	260	8.69E-05	-4.5141	-4.34	10.25								1700	550	170	3.6311	3.13	3.69	3.23	3.38	-2.9057	3.4111	86.951	0.001057554	5.95475E-05	8.89086E-05	147	8.2771	12.3582934
54-31-9	Furosemid	NS(=O)(=O)c1cc(C(O)=O)c(NCC2=CC=CO2)cc1Cl	3650	1y 2m 7d	331	263	6.56E-11	0.451			2.32		467	231	295	9.82E-09	-3.7827	-3.4	3.5	9.01							1700	550	170	1.6929	2.03	3.1	2.21	2.35	-12.097	14.295	140.44	0.001071942	0.000392417	0.000947295	149	54.546	131.673947
55589-62-3	6-methyl-1,2,3-oxathiazin-4(3H)-one 2,2-dioxide, potassium salt	CC1=CC(=O)N{-}(.K{+})S(=O)(=O)O1	3650	8.33 days	201	272	3.25E-11	4.97E+03			-2.3		-273				-0.22801	0	8.22								170	55	17	-0.1831		-0.31	-0.76	-0.5	-4.6215	3.3608		7.194244604	0	1.447769784	1000000		201240
56-75-7	Kloramfenikol	OCC{P+}(C{P+}(O)c1ccc(N(=O)=O)cc1)NC(=O)C(Cl)Cl	3650	2m 10d	323	266	8.31E-13	1.2			0.92		353	164	151	4.18E-06	-1.9693	-2.05	9.3	13.17							5500	1700	170	0.81722	1.14	1.02	1.02	1.02	-17.854	13.964	167.76	0.002798561	0.024948201	0.020718699	389	3467.8	2879.89916
57-83-0	progesterone	CC(=O)C{P-}1CCC{P-}2C{P+}3CCC4=CC(=O)CCC{P-}4(C)C{P-}3CCC{P+}12C	3650	23.82 days	314	198	0.0000877	0.0159			3.67		379	139	121		-3.8956	-4.51									5500	1700	550	3.7248	3.87	4.04	3.58	3.72	-7.7286	12.607	96.753	3.59712E-05	0.000287698	6.9914E-05	5	39.99	9.71805205
58-08-2	caffeine	CN1C=NC2=C1C(=O)N(C)C(=O)N2C	3650	3m 25d	194.19	349.84	1.08E-07	13.554			0.16	430.85	368	128	238	0.00061659	0.22091	-0.83			13.48	17.83					1700	550	170	-0.09012	-0.07	-0.13	0.42	0.28	-1.3483	10.366	73.704	0.018920863	2.323741007	0.206649532	2630	323000	28724.2849
58-22-0	testosterone	CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2O	3650	1m 12d	288.41	266.53	4.36E-07	0.23494			3.27	390.02	366	143	155		-4.0806	-4.14	15.06				1.14E+06	1.14E+06	964.99	963.37	5500	1700	550	3.2644	3.32	3.48	3.06	3.16	-3.9832	8.7201	109.85	0.00048777	0.000172374	0.000150323	67.8	23.96	20.8949064
58-89-9	Lindane	ClC{P+}1C{P+}(Cl)C{P-}(Cl)C{P+}(Cl)C{P+}(Cl)C{P-}1Cl	3650	2y 3m 21d	291	57	0.0575	0.0139		3.12E+14	4.26		318	100	182	0.015521	-4.6661	-4.65					2.49E+05	46188	15294	10983	55000	17000	5500	3.9167	3.86	3.99	3.79	3.82	-3.3647	8.2591	56.168	2.90647E-05	4.5136E-05	4.68408E-05	4.04	6.2739	6.51087269
58-93-5	Hydroklortiazid	NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O	3650	1y 0m 29d	298	258	7.39E-10	4.34			-0.1		485	224	274	2.37E-09	-2.4409	-2.55	8.88	10.15							1700	550	170	-0.30188	-0.07	-0.07	0.03	0.01	-6.7722	11.505	132.92	0.009280576	0.007760432	0.006037017	1290	1078.7	839.145334
5915-41-3	Terbuthylazine	CCNc1nc(NC(C)(C)C)nc(Cl)n1	3650	8y 11m 10d	230	198	0.00139	0.241			3.27		346	113	178	0.0014241	-5.3956	-4.01			12.3		4.72E+06	1.43E+07	1494.6	1494	5500	1700	1700	2.7641	3.21	2.98	3	2.99	-6.1586	9.8234	141.43	0.000398561	6.64568E-06	0.000161504	55.4	0.92375	22.4490934
